episode,reward,length,global_step
0,-39.192408,72,72
1,-173.648991,77,149
2,-429.58114,102,251
3,-85.740528,99,350
4,-51.102241,92,442
5,-388.845599,121,563
6,-276.948376,100,663
7,-399.469799,87,750
8,-49.728851,81,831
9,-286.731458,90,921
10,-307.538249,105,1026
11,-172.370818,153,1179
12,-310.14246,106,1285
13,-172.504582,138,1423
14,-428.588032,99,1522
15,-127.047256,88,1610
16,-354.188583,129,1739
17,-266.459716,130,1869
18,-305.65254,110,1979
19,-457.748325,164,2143
20,-146.50503,121,2264
21,-90.669766,80,2344
22,-332.659194,136,2480
23,-400.761158,131,2611
24,-157.549684,167,2778
25,-373.887816,117,2895
26,-34.63848,136,3031
27,-73.995758,83,3114
28,-442.083065,83,3197
29,-2.696609,79,3276
30,-454.697137,99,3375
31,-277.999428,92,3467
32,-86.918196,111,3578
33,-377.472052,98,3676
34,-293.647783,113,3789
35,-439.595925,234,4023
36,-131.87494,176,4199
37,-174.93884,148,4347
38,-5.643428,108,4455
39,-399.15479,166,4621
40,-58.097102,71,4692
41,-272.713084,133,4825
42,-129.841622,88,4913
43,-204.588162,185,5098
44,-346.933838,117,5215
45,-170.064108,98,5313
46,-69.874581,82,5395
47,-78.225254,109,5504
48,-70.85418,112,5616
49,-487.51879,102,5718
50,-494.831232,136,5854
51,-300.988606,224,6078
52,-75.403743,80,6158
53,-95.897085,84,6242
54,-248.86319,99,6341
55,-67.493645,86,6427
56,-353.786934,101,6528
57,-116.469066,155,6683
58,-7.578573,90,6773
59,-164.11766,135,6908
60,-260.646017,109,7017
61,-98.510445,100,7117
62,-255.933916,88,7205
63,-51.093137,126,7331
64,-53.85534,89,7420
65,-100.254128,84,7504
66,-100.495237,79,7583
67,-304.452557,183,7766
68,-139.540901,111,7877
69,-200.515399,119,7996
70,-99.659791,158,8154
71,-65.378921,85,8239
72,-108.964002,94,8333
73,-51.68101,100,8433
74,-265.227957,164,8597
75,-187.089516,132,8729
76,-78.801978,86,8815
77,-66.320526,165,8980
78,-40.191131,139,9119
79,-245.160789,112,9231
80,-61.996568,114,9345
81,-253.752823,166,9511
82,-15.235916,213,9724
83,-62.34143,130,9854
84,-78.405014,96,9950
85,-203.593259,111,10061
86,-119.535514,102,10163
87,-84.670227,88,10251
88,-194.740488,179,10430
89,-123.579022,167,10597
90,-34.741842,93,10690
91,-266.890066,140,10830
92,-50.851785,529,11359
93,-88.001866,211,11570
94,-215.363454,192,11762
95,-366.122159,160,11922
96,-297.055866,150,12072
97,17.419808,95,12167
98,-277.863774,148,12315
99,-139.275163,100,12415
100,-90.390799,113,12528
101,-83.074186,143,12671
102,-282.169578,107,12778
103,-148.937352,143,12921
104,-283.55083,147,13068
105,-238.203282,122,13190
106,-78.840533,145,13335
107,-20.762239,87,13422
108,-39.53289,101,13523
109,-111.966148,87,13610
110,-205.763789,109,13719
111,-183.461039,128,13847
112,-95.086901,141,13988
