#{"t_start": 1779895336.1134012, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-39.192408,72,0.779782
-173.648991,77,0.792336
-429.58114,102,0.809704
-85.740528,99,0.826128
-51.102241,92,0.841689
-388.845599,121,0.861027
-276.948376,100,0.877151
-399.469799,87,0.891345
-49.728851,81,0.904325
-286.731458,90,0.918672
-307.538249,105,0.935138
-172.370818,153,0.958066
-310.14246,106,0.973876
-172.504582,138,0.994559
-428.588032,99,1.00922
-127.047256,88,1.022334
-354.188583,129,1.041631
-266.459716,130,1.061326
-305.65254,110,1.07796
-457.748325,164,1.269981
-146.50503,121,1.28904
-90.669766,80,1.301259
-332.659194,136,1.322328
-400.761158,131,1.342788
-157.549684,167,1.3679
-373.887816,117,1.385528
-34.63848,136,1.406099
-73.995758,83,1.418523
-442.083065,83,1.430953
-2.696609,79,1.442781
-454.697137,99,1.457578
-277.999428,92,1.471264
-86.918196,111,1.487842
-377.472052,98,1.502479
-293.647783,113,1.519073
-439.595925,234,1.553727
-131.87494,176,1.683503
-174.93884,148,1.706444
-5.643428,108,1.722897
-399.15479,166,1.747588
-58.097102,71,1.758211
-272.713084,133,1.778083
-129.841622,88,1.791114
-204.588162,185,1.818906
-346.933838,117,1.836452
-170.064108,98,1.851228
-69.874581,82,1.863461
-78.225254,109,1.879713
-70.85418,112,1.896365
-487.51879,102,1.911369
-494.831232,136,1.931559
-300.988606,224,1.966248
-75.403743,80,2.086913
-95.897085,84,2.10021
-248.86319,99,2.115503
-67.493645,86,2.12873
-353.786934,101,2.144318
-116.469066,155,2.167407
-7.578573,90,2.180974
-164.11766,135,2.201119
-260.646017,109,2.217378
-98.510445,100,2.232561
-255.933916,88,2.245649
-51.093137,126,2.266078
-53.85534,89,2.280819
-100.254128,84,2.294052
-100.495237,79,2.305934
-304.452557,183,2.334159
-139.540901,111,2.351243
-200.515399,119,2.368786
-99.659791,158,2.392372
-65.378921,85,2.508643
-108.964002,94,2.523151
-51.68101,100,2.538448
-265.227957,164,2.562839
-187.089516,132,2.583029
-78.801978,86,2.595964
-66.320526,165,2.620436
-40.191131,139,2.641686
-245.160789,112,2.658592
-61.996568,114,2.675612
-253.752823,166,2.700263
-15.235916,213,2.731882
-62.34143,130,2.751297
-78.405014,96,2.765511
-203.593259,111,2.782513
-119.535514,102,2.797888
-84.670227,88,2.920746
-194.740488,179,2.95
-123.579022,167,2.97585
-34.741842,93,2.991337
-266.890066,140,3.014414
-50.851785,529,3.104228
-88.001866,211,3.138258
-215.363454,192,3.16864
-366.122159,160,3.194362
-297.055866,150,3.217096
17.419808,95,3.23226
-277.863774,148,3.361081
-139.275163,100,3.376951
-90.390799,113,3.394339
-83.074186,143,3.416767
-282.169578,107,3.432924
-148.937352,143,3.454418
-283.55083,147,3.476373
-238.203282,122,3.494597
-78.840533,145,3.516079
-20.762239,87,3.528998
-39.53289,101,3.54426
-111.966148,87,3.557876
-205.763789,109,3.574417
-183.461039,128,3.593564
-95.086901,141,3.61535
-399.528873,164,3.640118
-225.645241,122,3.658425
-289.456592,206,3.796364
-47.20311,123,3.81591
-240.673998,115,3.833409
-95.956914,212,3.865604
-250.222249,129,3.885328
-496.068286,127,3.904508
-85.601646,187,3.932165
-135.769175,94,3.946392
7.838977,106,3.962441
-48.63312,95,3.976738
-36.765343,182,4.003554
-181.406164,134,4.023868
-196.336518,135,4.04515
-199.246382,138,4.066777
24.18174,100,4.082447
-139.192363,163,4.227637
-85.823449,173,4.254499
-330.992325,153,4.277794
-388.30136,199,4.307485
-149.395105,165,4.333119
-34.615181,138,4.354243
-53.984951,116,4.371634
-176.238525,94,4.38552
-303.330318,159,4.409207
-53.296855,131,4.428778
-105.976096,107,4.444734
-43.708425,91,4.45845
-290.373726,184,4.485568
-243.512197,149,4.507578
-258.882984,243,4.648413
-54.821867,101,4.664207
-47.679907,149,4.686985
-276.162914,110,4.704252
-254.173447,111,4.72133
-92.06572,114,4.739339
-30.91137,130,4.759357
-189.600311,214,4.791967
-116.833021,192,4.821223
-70.983906,107,4.837395
-275.919911,169,4.863087
-261.966386,146,4.885151
-125.556789,177,4.911477
-32.601396,158,5.041954
-96.568568,298,5.087068
-316.869821,218,5.11975
-414.467824,195,5.148586
-38.016622,298,5.193515
-180.381082,199,5.224706
-164.008857,171,5.251709
-120.010186,182,5.280512
-33.609551,144,5.303896
-168.889721,101,5.320417
7.120655,107,5.337897
-67.970788,325,5.490498
-4.42709,123,5.508878
52.028817,182,5.535814
-46.086628,282,5.577033
9.193484,93,5.590695
-2.411798,135,5.610798
-154.039555,254,5.647974
-255.07185,258,5.68558
-317.828503,182,5.712258
-236.599497,215,5.743654
-20.927168,277,5.888304
-48.19138,307,5.933854
-81.278265,224,5.966581
-308.991354,412,6.026797
8.451716,108,6.042799
-251.329531,232,6.076993
-18.290952,125,6.095363
25.170292,1000,6.353342
-174.94286,126,6.373549
-77.166515,277,6.414129
51.192538,1000,6.568605
-27.075944,152,6.695802
-39.633448,161,6.720351
-38.712025,513,6.799875
-28.031653,274,6.841001
13.540555,150,6.863661
18.946283,95,6.878284
-36.334903,182,6.906041
-95.9139,180,6.933051
-94.373165,277,6.974018
-125.047164,196,7.106144
-46.42113,125,7.125673
-63.636891,109,7.142454
-35.494323,143,7.164163
-76.12841,237,7.199336
-20.569489,232,7.233263
-19.191843,189,7.261122
-159.349846,265,7.300218
-22.379329,270,7.341214
-39.59775,171,7.366963
-54.243698,247,7.403563
-5.200475,264,7.547866
-0.657048,143,7.569487
37.741583,1000,7.730373
-86.082395,288,7.774923
-6.325116,196,7.804935
-40.982493,319,7.956617
60.899715,1000,8.11547
-11.341891,179,8.142097
-75.874506,243,8.178451
