#{"t_start": 1779958994.621779, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-57.090998,246,7.057425
-109.496081,489,7.131415
2.47248,165,7.157592
26.737555,163,7.181996
6.723306,135,7.202283
-178.63021,226,7.235523
11.802443,358,7.28815
-37.478847,305,7.438789
7.701597,172,7.464575
22.451145,139,7.485424
16.545768,1000,7.640133
-0.199617,219,7.672777
-216.026322,366,7.828568
-196.558349,350,7.881083
30.956774,1000,8.03501
24.199996,1000,8.296005
-159.61394,552,8.377445
-182.494534,226,8.410895
38.938752,1000,8.667179
3.787641,207,8.698353
-41.809488,446,8.764069
23.347189,1000,8.919124
-73.170945,1000,9.173874
86.016902,1000,9.329847
43.847833,1000,9.585373
60.202505,1000,9.738487
-123.897853,498,9.918833
15.191785,1000,10.080175
13.48803,1000,10.355383
-78.672447,1000,10.508812
-413.256194,1000,10.760395
-189.952923,318,10.808025
41.345697,1000,10.964329
102.411356,1000,11.224001
-137.833586,668,11.323407
-40.984713,1000,11.476137
65.099873,1000,11.731199
-166.653486,1000,11.878301
-40.067971,1000,12.133622
-110.728624,1000,12.284819
-124.84626,1000,12.538113
-20.579467,1000,12.689892
-205.859547,838,12.918025
36.413764,1000,13.067661
1.062143,1000,13.319325
-78.472125,1000,13.465803
-82.469564,1000,13.721025
-27.805558,1000,13.867565
42.757347,1000,14.119246
-5.555934,1000,14.267886
-15.429406,1000,14.519059
66.682556,1000,14.673739
-21.115661,1000,14.925373
20.081917,1000,15.080742
-6.854792,1000,15.33342
-136.870562,783,15.44963
-11.034373,1000,15.704623
27.966067,1000,15.857164
8.087125,1000,16.006278
69.219486,1000,16.259226
-53.834924,1000,16.40489
-10.769904,1000,16.658382
17.665873,1000,16.808407
-40.539638,1000,17.059906
-38.807029,1000,17.206053
-39.793818,1000,17.459756
-29.260931,1000,17.606992
-69.221885,1000,17.861219
-58.768657,1000,18.00959
-129.376758,419,18.175162
-96.986537,384,18.232619
52.087434,1000,18.381989
-108.661535,581,18.57172
-3.716024,1000,18.720062
64.300702,769,18.833868
-97.134136,1000,19.086779
-53.650165,1000,19.232348
96.922627,817,19.456683
-102.901445,540,19.537016
-107.824412,571,19.620542
-83.092724,706,19.828435
20.687592,1000,19.980331
-82.152424,267,20.020232
157.314279,946,20.268541
-19.075706,1000,20.419719
-89.979257,918,20.657012
50.031999,1000,20.808524
42.379473,1000,21.06266
-20.520213,1000,21.214701
30.5997,1000,21.466474
-73.640091,272,21.506463
82.643564,817,21.628817
-96.616217,333,21.677502
66.979509,1000,21.933952
-50.066568,1000,22.088934
-67.198345,249,22.127545
-134.89517,600,22.320438
82.033849,786,22.438662
-116.447903,426,22.500842
74.191279,1000,22.757257
1.831467,1000,22.910638
-115.63131,582,23.098557
121.346987,635,23.193058
68.73929,1000,23.346159
161.523966,644,23.545637
133.222451,691,23.64822
41.865988,1000,23.899974
157.953695,668,24.000562
-213.815979,703,24.103424
88.439004,543,24.183114
16.28829,1000,24.449605
133.741383,548,24.531554
89.597789,1000,24.785012
103.149277,826,24.907881
-151.010415,625,25.000245
-77.315581,482,25.176721
24.917477,1000,25.329677
131.372734,653,25.427603
66.2874,1000,25.683212
-74.142508,216,25.714855
54.560961,928,25.850938
-115.076385,584,26.039654
134.101078,675,26.140114
90.948707,790,26.256171
31.301745,906,26.496867
18.290506,1000,26.647219
98.241262,1000,26.903338
95.456048,861,27.031418
78.837163,1000,27.283076
125.898865,648,27.379963
-149.476061,826,27.60373
54.300841,1000,27.756443
-79.118074,570,27.840376
-174.130052,757,28.055912
68.708038,824,28.179118
70.005818,1000,28.431285
139.186037,621,28.525772
134.150252,763,28.640269
-105.270111,526,28.819606
-60.400331,388,28.877187
44.049987,1000,29.031758
-163.30463,570,29.116615
115.737538,690,29.323098
-83.940173,420,29.384403
34.815074,1000,29.539421
-63.577265,526,29.721662
105.046189,555,29.805224
103.101454,595,29.894455
-153.005466,790,30.116355
-87.901535,419,30.178518
58.680286,1000,30.330775
156.372167,864,30.565363
40.562108,1000,30.72169
28.908386,1000,30.979461
85.723894,1000,31.133956
154.692609,717,31.346296
88.792715,1000,31.499077
128.248297,620,31.591284
108.42619,1000,31.851371
-118.133021,800,31.973929
95.120847,1000,32.230522
81.147786,1000,32.381261
79.510366,1000,32.640816
125.382048,718,32.748216
84.483813,1000,33.008699
