episode,reward,length,global_step
246,26.737555,163,36060
247,6.723306,135,36195
248,-178.63021,226,36421
249,11.802443,358,36779
250,-37.478847,305,37084
251,7.701597,172,37256
252,22.451145,139,37395
253,16.545768,1000,38395
254,-0.199617,219,38614
255,-216.026322,366,38980
256,-196.558349,350,39330
257,30.956774,1000,40330
258,24.199996,1000,41330
259,-159.61394,552,41882
260,-182.494534,226,42108
261,38.938752,1000,43108
262,3.787641,207,43315
263,-41.809488,446,43761
264,23.347189,1000,44761
265,-73.170945,1000,45761
266,86.016902,1000,46761
267,43.847833,1000,47761
268,60.202505,1000,48761
269,-123.897853,498,49259
270,15.191785,1000,50259
271,13.48803,1000,51259
272,-78.672447,1000,52259
273,-413.256194,1000,53259
274,-189.952923,318,53577
275,41.345697,1000,54577
276,102.411356,1000,55577
277,-137.833586,668,56245
278,-40.984713,1000,57245
279,65.099873,1000,58245
280,-166.653486,1000,59245
281,-40.067971,1000,60245
282,-110.728624,1000,61245
283,-124.84626,1000,62245
284,-20.579467,1000,63245
285,-205.859547,838,64083
286,36.413764,1000,65083
287,1.062143,1000,66083
288,-78.472125,1000,67083
289,-82.469564,1000,68083
290,-27.805558,1000,69083
291,42.757347,1000,70083
292,-5.555934,1000,71083
293,-15.429406,1000,72083
294,66.682556,1000,73083
295,-21.115661,1000,74083
296,20.081917,1000,75083
297,-6.854792,1000,76083
298,-136.870562,783,76866
299,-11.034373,1000,77866
300,27.966067,1000,78866
301,8.087125,1000,79866
302,69.219486,1000,80866
303,-53.834924,1000,81866
304,-10.769904,1000,82866
305,17.665873,1000,83866
306,-40.539638,1000,84866
307,-38.807029,1000,85866
308,-39.793818,1000,86866
309,-29.260931,1000,87866
310,-69.221885,1000,88866
311,-58.768657,1000,89866
312,-129.376758,419,90285
313,-96.986537,384,90669
314,52.087434,1000,91669
315,-108.661535,581,92250
316,-3.716024,1000,93250
317,64.300702,769,94019
318,-97.134136,1000,95019
319,-53.650165,1000,96019
320,96.922627,817,96836
321,-102.901445,540,97376
322,-107.824412,571,97947
323,-83.092724,706,98653
324,20.687592,1000,99653
325,-82.152424,267,99920
326,157.314279,946,100866
327,-19.075706,1000,101866
328,-89.979257,918,102784
329,50.031999,1000,103784
330,42.379473,1000,104784
331,-20.520213,1000,105784
332,30.5997,1000,106784
333,-73.640091,272,107056
334,82.643564,817,107873
335,-96.616217,333,108206
336,66.979509,1000,109206
337,-50.066568,1000,110206
338,-67.198345,249,110455
339,-134.89517,600,111055
340,82.033849,786,111841
341,-116.447903,426,112267
342,74.191279,1000,113267
343,1.831467,1000,114267
344,-115.63131,582,114849
345,121.346987,635,115484
346,68.73929,1000,116484
347,161.523966,644,117128
348,133.222451,691,117819
349,41.865988,1000,118819
350,157.953695,668,119487
351,-213.815979,703,120190
352,88.439004,543,120733
353,16.28829,1000,121733
354,133.741383,548,122281
355,89.597789,1000,123281
356,103.149277,826,124107
357,-151.010415,625,124732
358,-77.315581,482,125214
359,24.917477,1000,126214
360,131.372734,653,126867
361,66.2874,1000,127867
362,-74.142508,216,128083
363,54.560961,928,129011
364,-115.076385,584,129595
365,134.101078,675,130270
366,90.948707,790,131060
367,31.301745,906,131966
368,18.290506,1000,132966
369,98.241262,1000,133966
370,95.456048,861,134827
371,78.837163,1000,135827
372,125.898865,648,136475
373,-149.476061,826,137301
374,54.300841,1000,138301
375,-79.118074,570,138871
376,-174.130052,757,139628
377,68.708038,824,140452
378,70.005818,1000,141452
379,139.186037,621,142073
380,134.150252,763,142836
381,-105.270111,526,143362
382,-60.400331,388,143750
383,44.049987,1000,144750
384,-163.30463,570,145320
385,115.737538,690,146010
386,-83.940173,420,146430
387,34.815074,1000,147430
388,-63.577265,526,147956
389,105.046189,555,148511
390,103.101454,595,149106
391,-153.005466,790,149896
392,-87.901535,419,150315
393,58.680286,1000,151315
394,156.372167,864,152179
395,40.562108,1000,153179
396,28.908386,1000,154179
397,85.723894,1000,155179
398,154.692609,717,155896
399,88.792715,1000,156896
400,128.248297,620,157516
401,108.42619,1000,158516
402,-118.133021,800,159316
403,95.120847,1000,160316
404,81.147786,1000,161316
405,79.510366,1000,162316
406,125.382048,718,163034
407,84.483813,1000,164034
408,-68.727941,780,164814
409,83.889046,844,165658
410,41.690706,1000,166658
411,118.925732,710,167368
412,19.209211,1000,168368
413,-86.762247,267,168635
414,-48.921256,1000,169635
415,138.698875,586,170221
416,74.067356,1000,171221
417,-122.192698,645,171866
418,109.561347,708,172574
419,108.242282,686,173260
420,55.227365,1000,174260
421,-112.2582,470,174730
422,73.528907,1000,175730
423,-56.096913,1000,176730
424,-23.210054,1000,177730
425,-44.482195,423,178153
426,116.862944,890,179043
427,15.291067,1000,180043
428,92.912906,723,180766
429,-87.645832,489,181255
430,-102.328094,442,181697
431,23.56333,1000,182697
432,-89.037957,641,183338
433,-40.258798,1000,184338
434,-77.203916,536,184874
435,115.280248,755,185629
436,111.010845,750,186379
437,-60.00858,1000,187379
438,32.037885,1000,188379
439,-105.405584,520,188899
440,119.144121,758,189657
441,53.921723,1000,190657
442,-96.011571,526,191183
443,6.134288,1000,192183
444,82.785463,1000,193183
445,-67.946998,276,193459
446,116.308258,772,194231
447,122.448446,685,194916
448,114.562486,593,195509
449,-119.278555,432,195941
450,56.112801,1000,196941
451,40.002749,1000,197941
452,25.599705,1000,198941
453,48.561108,1000,199941
454,70.291527,1000,200941
455,-153.769196,802,201743
456,16.583374,1000,202743
457,-35.215055,1000,203743
458,-92.209301,1000,204743
459,125.386415,917,205660
460,-188.471081,869,206529
461,102.219832,908,207437
462,-120.457119,892,208329
463,-104.81929,420,208749
464,7.108051,1000,209749
465,-62.352551,1000,210749
466,-115.202734,805,211554
467,140.306081,730,212284
468,34.660975,944,213228
469,10.853874,1000,214228
470,-90.150498,262,214490
471,-73.085611,333,214823
472,-91.890795,668,215491
473,-43.446111,1000,216491
474,-113.962659,583,217074
475,52.901643,1000,218074
476,-58.131217,1000,219074
477,27.961902,1000,220074
478,13.387167,1000,221074
479,88.520683,764,221838
480,-66.253483,1000,222838
481,8.485962,1000,223838
482,47.371891,1000,224838
483,-116.275049,759,225597
484,40.030758,1000,226597
485,-122.755797,617,227214
486,-33.587948,1000,228214
487,130.487254,728,228942
488,46.182311,1000,229942
489,110.2124,895,230837
490,-83.637222,360,231197
491,181.941176,685,231882
492,-166.370097,653,232535
493,-67.571248,1000,233535
494,119.262647,589,234124
495,47.129397,1000,235124
496,142.772919,742,235866
497,-172.792317,632,236498
498,-136.976863,864,237362
499,-107.924155,1000,238362
500,-95.437937,478,238840
501,102.73992,717,239557
502,-62.732968,1000,240557
503,136.111923,679,241236
504,120.023042,778,242014
505,-68.463503,1000,243014
506,-130.50702,612,243626
507,24.23862,1000,244626
508,45.448684,1000,245626
509,-101.52056,404,246030
510,-71.160853,490,246520
511,-140.326006,890,247410
512,-152.023151,683,248093
513,-34.040571,1000,249093
514,-7.652317,1000,250093
515,-64.514552,1000,251093
516,-55.030743,1000,252093
517,-101.277034,443,252536
518,35.893162,1000,253536
519,-89.083635,551,254087
520,7.808599,1000,255087
521,71.48443,1000,256087
522,81.436266,1000,257087
523,23.842566,1000,258087
524,1.599842,1000,259087
525,-128.303663,873,259960
526,-133.836842,665,260625
527,10.34496,1000,261625
528,72.317191,763,262388
529,93.501139,668,263056
530,-217.82965,700,263756
531,18.489587,902,264658
532,-179.334838,726,265384
533,36.348019,1000,266384
534,88.58985,826,267210
535,-134.022304,558,267768
536,-151.464511,765,268533
537,-7.578067,1000,269533
538,-100.654416,734,270267
539,-85.43266,637,270904
540,36.974502,1000,271904
541,114.070302,728,272632
542,-202.923347,694,273326
543,-32.013779,1000,274326
544,9.887337,1000,275326
545,75.43634,930,276256
546,70.483853,773,277029
547,37.610368,1000,278029
548,-57.279315,1000,279029
549,39.79741,1000,280029
550,26.983535,1000,281029
551,108.758473,732,281761
552,13.792993,1000,282761
553,119.176163,758,283519
554,6.133163,1000,284519
555,29.158739,1000,285519
556,130.823292,604,286123
557,-82.598753,811,286934
558,-36.22817,1000,287934
559,10.573229,1000,288934
560,-69.255226,206,289140
561,-56.701787,1000,290140
562,99.649043,796,290936
563,-23.11994,1000,291936
564,147.387092,709,292645
565,-16.923545,1000,293645
566,-82.379549,1000,294645
567,43.434721,1000,295645
568,75.733985,1000,296645
569,143.515365,668,297313
570,66.115659,998,298311
571,144.304736,711,299022
572,106.506211,717,299739
573,156.28882,676,300415
574,26.605516,1000,301415
575,129.407752,511,301926
576,-144.472881,921,302847
577,-31.704572,1000,303847
578,-86.190736,563,304410
579,70.225505,1000,305410
580,17.04889,1000,306410
581,159.474292,908,307318
582,-133.969918,826,308144
583,66.416807,1000,309144
584,71.814256,866,310010
585,44.622878,1000,311010
586,22.965349,1000,312010
587,41.353614,1000,313010
588,126.078791,870,313880
589,71.673797,668,314548
590,58.379608,1000,315548
591,138.213044,488,316036
592,28.937589,1000,317036
593,100.600322,751,317787
594,144.807436,594,318381
595,68.991962,1000,319381
596,89.300324,681,320062
597,49.070678,1000,321062
598,123.937317,752,321814
599,150.053466,813,322627
600,-50.689211,267,322894
601,72.634773,1000,323894
602,114.164205,743,324637
603,147.235198,634,325271
604,33.393217,1000,326271
605,147.516732,539,326810
606,166.517856,480,327290
607,69.013452,1000,328290
608,-45.007506,383,328673
609,66.65479,1000,329673
610,-69.186925,585,330258
611,183.829852,572,330830
612,179.886073,908,331738
613,85.587984,1000,332738
614,-98.463912,480,333218
615,120.588834,445,333663
616,-81.56845,809,334472
617,143.701837,799,335271
618,157.471328,464,335735
619,127.741815,697,336432
620,-86.192707,454,336886
621,-88.475046,643,337529
622,-60.763326,431,337960
623,-39.024725,1000,338960
624,-195.055871,511,339471
625,-150.600547,951,340422
626,88.956873,1000,341422
627,148.736727,596,342018
628,93.113431,1000,343018
629,33.534152,1000,344018
630,180.974778,605,344623
631,65.968299,1000,345623
632,77.671515,1000,346623
633,144.338333,513,347136
634,-57.408981,1000,348136
635,147.207053,702,348838
636,-61.584882,438,349276
637,-102.958361,599,349875
638,-86.612034,726,350601
639,-8.547025,1000,351601
640,13.567685,1000,352601
641,174.727549,947,353548
642,150.4319,722,354270
643,55.474218,1000,355270
644,211.391774,503,355773
645,35.571044,1000,356773
646,107.206763,889,357662
647,77.685919,1000,358662
648,91.13791,1000,359662
649,-70.040573,409,360071
650,60.826245,1000,361071
651,89.709855,1000,362071
652,142.220613,513,362584
653,158.860089,485,363069
654,-116.751242,608,363677
655,-98.552828,752,364429
656,72.583376,1000,365429
657,151.404136,549,365978
658,123.138018,789,366767
659,-79.838104,466,367233
660,-53.206181,1000,368233
661,-30.893827,1000,369233
662,138.991544,532,369765
663,-64.627978,737,370502
664,163.481462,616,371118
665,115.980755,499,371617
666,76.742455,1000,372617
667,-171.073106,413,373030
668,-59.093684,364,373394
669,155.583401,464,373858
670,-203.176256,956,374814
671,98.827472,1000,375814
672,130.056075,723,376537
673,149.612953,712,377249
674,-37.934592,1000,378249
675,25.875112,1000,379249
676,-49.572285,1000,380249
677,130.718544,767,381016
678,-35.492879,378,381394
679,-117.291982,543,381937
680,47.618862,1000,382937
681,-47.446887,327,383264
682,152.425486,316,383580
683,138.569665,463,384043
684,-18.988819,277,384320
685,105.805452,709,385029
686,88.848616,1000,386029
687,90.855829,1000,387029
688,126.946323,770,387799
689,32.383491,1000,388799
690,128.449942,480,389279
691,-111.996744,539,389818
692,130.634299,583,390401
693,30.622854,1000,391401
694,168.169465,431,391832
695,13.420364,1000,392832
696,116.78759,1000,393832
697,167.289882,957,394789
698,96.847158,1000,395789
699,151.728439,431,396220
700,191.749814,328,396548
701,143.997518,415,396963
702,166.374124,550,397513
703,-126.671805,752,398265
704,85.817943,1000,399265
705,77.107966,792,400057
706,-5.287917,384,400441
707,120.621204,941,401382
708,83.842186,1000,402382
709,76.244029,1000,403382
710,70.639386,1000,404382
711,75.31522,1000,405382
712,-124.930612,641,406023
713,181.77286,395,406418
714,-34.877606,403,406821
715,184.818875,358,407179
716,172.341606,466,407645
717,147.853563,601,408246
718,-127.548522,695,408941
