#{"t_start": 1780055384.577636, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-348.3539,81,0.014473
-323.277466,136,0.034397
-287.167849,134,0.054368
-499.269214,119,0.07177
-351.459471,84,0.08418
-448.841755,93,0.097674
-349.581645,109,0.113458
-17.950978,118,0.130692
-61.220398,65,0.140239
-480.443374,105,0.155552
-210.703962,82,0.167741
-511.033619,113,0.186558
-487.718139,117,0.204781
-294.33209,90,0.218242
-53.134208,104,0.233851
-148.16597,158,0.257088
-130.194944,101,0.272002
-299.928415,167,0.296343
26.211148,98,0.310859
-76.055131,181,0.337445
-438.4091,91,0.350999
-59.551257,66,0.360747
-172.865254,110,0.376795
-368.720337,96,0.390734
-38.560908,71,0.40123
-242.625701,87,0.41393
-323.079661,89,0.427133
-386.025639,92,0.440485
-110.940861,236,0.476435
-215.440161,120,0.494306
-396.600634,97,0.509925
-69.393673,77,0.521275
-162.536447,133,0.54102
-392.391752,117,0.5582
-350.970566,114,0.575328
-137.719762,143,0.596279
-340.482961,145,0.82426
-209.096389,99,0.83903
-138.985268,124,0.8573
-146.566912,90,0.871197
-162.575705,121,0.889091
-663.203529,89,0.902578
-93.681546,111,0.919432
-50.790719,105,0.934995
-356.653786,91,0.948717
-260.200985,110,0.964939
-328.643579,103,0.980111
-38.153462,116,0.997592
-123.973923,161,1.02128
-252.977333,79,1.033354
-160.785955,160,1.057041
-262.557011,100,1.072015
-253.016951,93,1.085749
-270.198936,95,1.099688
-351.826241,129,1.118931
-33.700609,138,1.139457
-351.898756,121,1.157536
-84.491894,239,1.192813
-52.826678,62,1.202349
-117.852099,74,1.213941
-196.133001,122,1.232298
-145.951216,81,1.244862
-195.091904,145,1.266472
-111.866074,89,1.279928
-387.414773,82,1.292054
-204.3166,159,1.315997
-440.716979,111,1.332455
-87.331699,79,1.344413
-289.254335,136,1.364262
-358.003511,96,1.378548
-108.789902,112,1.395032
-78.419537,75,1.40611
-196.082504,105,1.421829
-337.080593,102,1.64655
-245.341544,115,1.665099
-40.342522,98,1.680025
-235.266742,188,1.708062
-309.45225,77,1.719825
-173.778137,200,1.749542
-171.900965,112,1.766051
-100.460804,104,1.781838
-99.860608,100,1.796707
-457.450236,203,1.826851
-206.55976,163,1.851225
-46.807598,87,1.864347
-398.281938,145,1.885606
-287.028366,95,1.899655
-86.404553,89,1.91301
-73.348244,72,1.923833
-58.533954,101,1.938656
-288.275587,84,1.95138
-181.917328,120,1.96905
-44.573578,67,1.979054
-259.148339,103,1.994656
-244.828563,93,2.008518
-260.133437,148,2.03055
-60.669847,127,2.049228
-94.263221,71,2.059797
-77.152386,70,2.070508
-264.943013,113,2.087134
-142.395798,122,2.10508
-175.835404,81,2.117321
-76.702503,84,2.129897
-183.125785,113,2.146688
-250.106611,218,2.179801
-172.939725,148,2.201588
-232.813073,105,2.217322
-393.755989,159,2.241163
-72.357995,71,2.46595
-326.888631,857,2.598662
-71.13335,105,2.614361
-34.068308,77,2.62595
-176.31758,100,2.640585
-155.608954,181,2.6677
-298.660529,154,2.690549
-70.657651,68,2.701063
-98.109533,129,2.720138
-177.262065,123,2.738387
-84.420477,73,2.749211
-145.162567,117,2.766309
-196.051548,87,2.779542
-122.808595,70,2.790126
-341.250173,145,2.811582
-452.317766,109,2.828054
-60.927762,89,2.841346
-348.176871,122,2.859522
-32.221255,71,2.870315
-219.828178,197,2.899221
-297.804373,157,2.922784
-45.968111,112,2.93941
-285.211699,127,2.958373
-93.586957,151,2.980521
-349.279786,146,3.002279
-72.400589,97,3.016914
-110.747573,97,3.031601
-132.231594,110,3.047891
-116.540241,85,3.060446
-224.246277,137,3.081079
-80.343777,64,3.297283
-222.513905,105,3.313021
-98.965568,98,3.32801
-100.690289,99,3.343116
-213.502111,100,3.358555
-124.599013,109,3.375363
-151.45887,88,3.388647
-104.777717,87,3.401775
-73.56677,188,3.43001
-321.638737,115,3.447086
-58.586445,71,3.457846
-96.728612,72,3.468612
-101.152491,93,3.482423
-252.112384,140,3.503161
-321.40424,164,3.527817
-137.148528,107,3.543832
-88.337227,113,3.560505
-187.598729,89,3.57387
-92.223703,98,3.588361
15.23985,105,3.603976
-289.770256,120,3.621642
-140.799505,119,3.639131
-106.357876,110,3.655305
-75.643164,72,3.666015
-48.715091,81,3.677993
-178.77811,106,3.69352
-156.6806,93,3.707439
-74.140868,88,3.720691
-203.541173,156,3.743481
-253.935096,101,3.758237
-78.972958,89,3.771375
-166.553032,131,3.790588
-76.803431,81,3.802603
-105.785503,91,3.815935
-44.965902,92,3.829513
-244.643216,94,3.84334
-245.296064,111,3.8596
-407.34214,131,3.878774
-188.661029,131,4.101783
