#{"t_start": 1779911810.781597, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-177.106122,120,0.040867
-164.134855,93,0.168468
-664.126393,80,0.281826
-474.271288,53,0.355055
-477.994454,60,0.4378
-110.740004,85,0.553721
-422.201474,69,0.647725
-562.071439,79,0.756006
-123.516381,68,0.850713
-105.528538,52,0.921825
-126.072979,57,1.001331
-112.655961,77,1.106747
-131.204198,69,1.200417
-104.84334,62,1.287924
-104.782997,52,1.3621
-108.521995,57,1.440715
-115.514411,85,1.556507
-150.888394,84,1.671002
-112.059568,64,1.758195
-139.052838,77,1.864472
-120.230198,81,1.974829
-137.552283,56,2.051903
-153.887028,59,2.13557
-235.942221,65,2.224172
-140.746277,84,2.339095
-108.367407,59,2.419933
-198.37044,82,2.531223
-154.060614,62,2.615247
-202.724612,68,2.708196
-342.050355,111,2.860244
-137.243465,83,2.973208
-116.905324,53,3.044915
-115.561023,55,3.121734
-116.835802,57,3.199339
-118.605274,72,3.297608
-178.126811,103,3.440014
-115.186908,75,3.542018
-104.666048,66,3.632254
-127.718249,106,3.77705
-111.838542,65,3.866732
-151.326271,59,3.947078
-105.962488,56,4.023175
-139.896068,74,4.123866
-127.036077,62,4.208251
-123.54713,78,4.314943
-91.105976,56,4.391804
-134.194269,69,4.486133
-122.285374,73,4.584853
-123.492862,54,4.658497
-101.511647,85,4.774593
-114.046552,89,4.896439
-118.261375,64,4.9838
-71.384828,88,5.103394
-97.914173,65,5.192589
-117.698672,73,5.293101
-88.219559,72,5.392222
-76.964298,81,5.503196
-116.064268,74,5.603892
-96.124227,76,5.707646
-112.628418,67,5.798823
-80.720431,74,5.900563
-105.931153,63,5.986984
-104.539379,56,6.063615
-105.29214,90,6.186245
-127.458322,76,6.289864
-76.942659,63,6.376301
-90.263303,68,6.468958
-73.505263,57,6.54677
-103.600306,79,6.653919
-88.904503,52,6.724613
-117.215616,68,6.817556
-85.163528,71,6.916078
-66.437479,60,6.998269
-75.69024,58,7.077266
-59.739227,53,7.149095
-88.204605,71,7.246234
-83.101805,79,7.356254
-66.081481,57,7.434715
-93.023191,83,7.547872
-79.174497,63,7.634148
-119.865109,83,7.74712
-101.706363,75,7.850115
-119.678043,81,7.961306
-103.513801,72,8.059537
-84.781622,65,8.148437
-215.699713,95,8.277249
-85.047059,60,8.360182
-94.708457,89,8.48156
-77.512078,95,8.610858
-109.56094,89,8.732292
-71.351309,63,8.817912
-79.83533,93,8.945963
-88.679328,83,9.058739
-62.287799,72,9.156533
-65.714173,67,9.248224
-70.200966,71,9.34563
-97.487024,84,9.462065
-69.999824,74,9.563211
-81.921981,73,9.663404
-62.468923,65,9.75167
-82.913616,84,9.867078
-136.36991,85,9.98363
-127.655271,74,10.084642
-251.755969,169,10.324361
-496.450507,109,10.480006
