#{"t_start": 1779964677.975788, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-360.954166,74,0.014929
-152.694176,153,0.037666
-481.235814,101,0.052641
-167.682593,157,0.075668
-517.172834,92,0.089169
-320.496746,129,0.108158
-149.304372,95,0.122221
-424.738486,100,0.136831
-158.327365,144,0.157896
-121.252489,161,0.181493
-158.443514,102,0.196512
-165.765881,133,0.216246
-330.95718,114,0.232972
-475.919107,100,0.247706
-36.650671,81,0.259701
-310.448762,98,0.274108
-213.76227,115,0.291039
-414.402249,84,0.303367
-41.459266,102,0.318431
-136.317274,106,0.33402
-173.463573,136,0.353908
-249.29654,98,0.368267
-372.876122,102,0.383491
-356.281974,109,0.399444
-56.305987,84,0.411849
-210.510915,90,0.42592
-387.846126,171,0.450922
-121.072771,136,0.470786
-85.362424,81,0.482823
-293.270723,98,0.497095
-493.132579,101,0.511949
-290.126053,78,0.523535
-119.392194,111,0.539757
-352.215704,103,0.554738
-338.473408,106,0.570199
-428.303236,136,0.59008
-509.150679,112,0.606357
-161.06625,119,0.83061
-359.52026,95,0.844994
-350.309788,98,0.860074
-113.246966,86,0.873721
-36.307079,75,0.885231
-47.080027,128,0.904922
-189.550846,150,0.927219
-102.279587,128,0.946243
-262.111119,184,0.973459
-112.37847,143,0.99449
-479.382167,141,1.015124
-397.928459,96,1.029192
-161.547152,83,1.041531
-54.004226,88,1.054673
-179.062394,87,1.067511
-100.509621,132,1.086837
-276.501363,101,1.10161
-99.26616,109,1.11766
-194.522001,81,1.129687
-136.176175,112,1.146114
-59.110906,93,1.159836
-314.553872,101,1.174711
-68.9752,68,1.184767
-202.1863,158,1.208006
-167.291153,113,1.224683
-113.071909,100,1.2399
-469.448004,136,1.260826
-121.717961,93,1.275582
-203.243896,90,1.289468
-377.532898,121,1.307382
-546.31136,115,1.324442
-130.089345,116,1.341935
-398.886547,178,1.368748
-102.476781,137,1.389255
-284.804393,97,1.403946
-212.444911,195,1.641515
-483.687213,116,1.65954
-53.074294,161,1.686347
-336.015214,157,1.710388
-183.238602,73,1.721358
-62.559409,88,1.734524
-386.282681,191,1.762782
-48.478753,100,1.777819
-285.648797,114,1.79451
-156.931208,182,1.821176
-216.655574,123,1.839128
-317.886946,96,1.853208
-111.992885,77,1.864731
-174.026377,113,1.881398
-128.136584,134,1.901348
-110.315741,73,1.912995
-195.620686,82,1.925475
-30.07342,149,1.947585
-95.038033,96,1.961798
-319.668809,107,1.977703
-211.388469,105,1.993287
-140.775733,166,2.017604
-172.681248,122,2.036998
-128.062807,87,2.051182
-90.579806,78,2.063662
-96.247452,112,2.081154
-153.033494,92,2.09554
-215.779741,121,2.113489
-114.619388,85,2.12651
-249.513852,137,2.147163
-180.545129,102,2.162375
-46.642024,98,2.177335
-202.629724,105,2.193069
-88.391331,109,2.209193
-310.972561,90,2.223118
-145.003519,105,2.239069
-172.036887,80,2.251005
-86.97719,77,2.473121
-234.820524,93,2.487571
-93.539019,141,2.509818
-116.706121,157,2.533664
-70.443026,111,2.550594
-439.594881,77,2.562352
-186.028378,158,2.585866
-198.494169,155,2.608819
-41.796171,61,2.618327
-141.85338,90,2.631825
-468.007534,127,2.650942
-44.717745,86,2.664107
-197.669869,140,2.684905
-285.785966,151,2.707339
-136.01672,151,2.729772
-204.507985,112,2.746229
-378.535721,136,2.766659
-76.770787,98,2.781286
-512.656803,187,2.809035
-59.234558,136,2.828984
-61.798401,75,2.840105
-77.289651,72,2.850749
-273.027603,132,2.870079
-249.33285,95,2.884074
-101.468586,81,2.896268
-313.900407,109,2.912743
-339.023773,123,2.93248
-333.717961,158,2.956384
-49.846452,83,2.969195
-108.06924,104,2.985016
-122.490927,81,2.997438
-262.473168,104,3.01284
-83.718562,138,3.033778
-30.536748,69,3.04421
-238.719682,101,3.059082
-307.270143,120,3.076826
-73.044617,79,3.292599
-336.737678,117,3.310346
-230.850222,135,3.331332
-115.513372,85,3.344529
-60.358809,87,3.357615
-215.0942,147,3.379471
-193.12349,85,3.392054
-167.967058,182,3.418987
-143.47987,141,3.439773
-222.193632,137,3.459931
-176.76996,136,3.480316
-202.109546,134,3.500186
-279.107318,104,3.515603
-131.891932,127,3.534239
-174.892811,140,3.554805
-413.737794,138,3.575161
-78.914047,108,3.59113
-106.101545,81,3.603184
-286.853646,112,3.619916
-298.871256,114,3.63789
-274.269556,134,3.658409
-82.9284,145,3.680247
-341.355722,135,3.700504
-161.139364,100,3.715278
-120.085996,91,3.728785
-38.929742,105,3.744287
-184.771148,137,3.764472
-113.973978,119,3.781964
-191.93382,102,3.796867
-158.69036,96,3.813005
-223.742464,103,3.828924
-128.884821,85,3.84186
-128.70899,134,3.86185
-261.415095,107,3.877636
-363.799292,115,3.894712
-134.179368,123,4.118856
-76.590256,75,4.130357
-107.476133,92,4.144141
-198.036288,142,4.165257
-193.987485,95,4.17934
-83.750692,89,4.192539
-14.387803,84,4.205089
-100.75194,130,4.224273
-208.841783,155,4.247023
-31.31667,77,4.258489
-385.818797,165,4.282643
-83.26483,156,4.305593
-204.725333,137,4.325735
-261.124378,182,4.352229
-244.120191,112,4.368639
-297.232349,126,4.387144
-272.772083,101,4.402044
-99.105518,162,4.426868
-106.694125,171,4.452046
-90.879733,109,4.468089
-97.369495,89,4.481311
-114.298072,75,4.492461
-332.128409,168,4.517209
-198.716411,112,4.533936
-224.215827,134,4.553522
-362.076175,125,4.572057
-191.349635,95,4.586078
-197.117315,92,4.599714
