episode,reward,length,epsilon
274,900.0,1087,0.2532352299289372
275,2100.0,1330,0.2519690537792925
276,2600.0,1494,0.2507092085103961
277,3000.0,1550,0.2494556624678441
278,3500.0,1494,0.24820838415550486
279,2700.0,1596,0.24696734223472733
280,3000.0,1430,0.2457325055235537
281,2700.0,1042,0.24450384299593592
282,3100.0,1382,0.24328132378095624
283,3000.0,1301,0.24206491716205145
284,2600.0,1141,0.2408545925762412
285,1100.0,943,0.23965031961336
286,1800.0,1262,0.2384520680152932
287,900.0,940,0.23725980767521673
288,300.0,977,0.23607350863684065
289,3000.0,1418,0.23489314109365644
290,1400.0,1278,0.23371867538818816
291,8000.0,1806,0.23255008201124722
292,3600.0,1366,0.231387331601191
293,3500.0,1499,0.23023039494318503
294,6400.0,1474,0.2290792429684691
295,1100.0,984,0.22793384675362674
296,5500.0,1505,0.22679417751985861
297,6300.0,1532,0.22566020663225933
298,5200.0,1426,0.22453190559909803
299,5900.0,1526,0.22340924607110255
