#{"t_start": 1779913751.8246021, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-159.658123,75,0.015577
-322.777992,97,0.219544
-300.85098,131,0.551919
-426.085951,87,0.777616
-394.499642,109,1.037203
-154.369779,144,1.365637
-340.988813,190,1.831127
-223.743845,202,2.323303
-283.704141,205,2.84257
-160.566494,183,3.300278
-555.15246,239,3.856943
-266.993235,637,5.342675
-150.432029,286,5.998154
-153.145219,461,7.036384
-267.061683,425,7.982147
-52.012061,1000,10.207561
-48.699935,1000,12.434638
-64.834971,1000,14.663613
-114.172704,1000,16.888838
-67.783178,1000,19.125462
-207.000659,573,20.421326
-55.143861,602,21.767822
-74.313619,1000,23.990236
-61.044519,1000,26.217715
-42.912387,1000,28.445374
-77.705069,1000,30.670512
-80.699379,1000,32.892481
-125.71931,1000,35.128778
-89.864448,1000,37.3588
-77.903519,1000,39.592909
-129.201161,1000,42.041575
-114.59296,1000,44.571902
-96.526867,1000,46.967719
-131.703647,1000,49.54476
-107.226557,1000,51.95906
-25.167534,1000,54.355236
-35.146876,1000,56.752199
-28.583069,1000,59.26537
-46.938096,1000,61.663785
-39.842833,1000,64.083708
-87.790569,216,64.602871
-57.951637,1000,67.002719
-172.620554,970,69.32572
-69.892265,1000,71.729823
-133.679837,120,72.018378
-60.209959,1000,74.423406
-129.677745,146,74.773094
-55.389275,1000,77.171197
-96.151086,1000,79.56627
-65.51878,1000,81.963072
-94.840468,1000,84.35081
-134.272438,1000,87.075454
-136.152829,183,87.528699
-99.656699,1000,90.263109
-111.178625,1000,92.766861
-118.755914,1000,95.330144
-228.860993,734,96.976099
-38.801592,1000,99.221729
-73.078476,1000,101.599271
-18.325842,1000,103.839351
-52.085823,1000,106.078264
-33.642498,1000,108.449823
-106.63516,1000,110.789924
-55.857056,1000,113.202636
-99.762057,1000,115.507081
