#{"t_start": 1779964428.5784519, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-99.127333,133,0.023915
-337.804175,86,0.03739
-188.462644,109,0.054934
-347.458816,115,0.07392
-43.315708,80,0.086525
-142.109444,141,0.109342
-495.712405,99,0.125233
-149.59918,66,0.136156
-17.077722,102,0.152714
-111.128488,96,0.168204
-153.716534,77,0.180786
-305.616343,102,0.196982
-40.866896,67,0.208907
-440.622334,116,0.227771
-349.707111,174,0.255304
-567.796685,143,0.277395
-217.296735,84,0.290385
-243.117775,96,0.305807
-100.37895,113,0.325054
-158.080542,132,0.345864
-184.352404,95,0.361348
-175.786339,77,0.373499
-65.485163,88,0.388113
-158.531459,139,0.410796
-445.234002,109,0.427639
-310.15756,89,0.441901
-207.697605,187,0.470301
-312.741384,92,0.485141
-60.971186,84,0.499709
-416.646574,91,0.513947
-320.086677,88,0.527617
-249.000481,116,0.545778
-33.015033,82,0.558418
-85.472131,153,0.583609
-414.234842,211,0.616516
-44.691466,83,0.629877
-110.016636,89,0.644276
-334.442549,96,0.880018
-65.300699,83,0.893292
-59.021015,97,0.908058
-88.369806,105,0.92451
-35.90245,76,0.936462
-105.235197,146,0.959025
-110.055686,173,0.986069
-406.080297,126,1.005662
-84.470709,82,1.018076
-540.152635,127,1.037738
-186.978285,123,1.056314
-196.834404,82,1.069114
-221.500407,117,1.087683
-461.265107,138,1.108368
-167.339446,174,1.135584
-385.745748,93,1.150493
-337.061366,114,1.168542
-108.238523,122,1.187162
-87.86402,80,1.199303
-317.035147,157,1.222546
-124.502827,76,1.233964
-164.095408,155,1.258585
-125.909562,180,1.290013
-297.149666,160,1.316885
-270.773546,104,1.333762
-100.171504,93,1.348607
-293.255053,99,1.363873
-249.259896,91,1.377551
-252.728604,92,1.39147
-155.532526,143,1.414091
-109.816231,107,1.43032
-67.882056,79,1.442514
-269.171903,87,1.455603
-152.561631,148,1.478074
-229.976783,110,1.494614
-431.362772,148,1.517606
-95.502722,113,1.746761
-252.460435,107,1.762918
-105.85429,119,1.780892
-261.257685,117,1.798273
-75.349635,162,1.822279
-73.953303,106,1.838082
-6.673199,84,1.850864
-188.152033,99,1.866011
-41.61915,73,1.877172
-365.93536,135,1.899424
-315.167119,155,1.925076
-346.830778,88,1.938787
-187.044404,156,1.962039
-61.692976,86,1.974776
-410.319913,135,1.994484
-83.143406,111,2.011725
-267.643149,96,2.0264
-362.431869,115,2.043584
-149.376283,130,2.063822
-255.734059,163,2.088728
-59.692069,81,2.101475
-219.83906,100,2.117015
-173.095155,163,2.14179
-310.434427,100,2.157497
-218.909758,109,2.174142
-305.799674,112,2.192079
-188.471252,96,2.207262
-119.546146,99,2.222612
-247.552516,112,2.240487
-47.832639,67,2.25163
-76.289058,110,2.268933
-98.144219,104,2.285096
-47.155725,87,2.298706
-188.72956,147,2.321074
-157.274554,111,2.338017
-252.164274,156,2.58114
-233.91745,99,2.596552
-415.804107,92,2.610445
-171.586709,153,2.633345
-272.460911,185,2.662157
-181.602341,127,2.681642
-104.388704,89,2.695278
-96.428196,98,2.711026
-44.737279,82,2.724439
-169.658546,128,2.744721
-145.824455,93,2.759692
-57.773158,80,2.772198
-98.658998,121,2.790963
-215.481599,110,2.808039
-90.181067,106,2.82418
-89.938253,82,2.83739
-299.945671,118,2.855834
-323.794375,119,2.8745
-372.393557,135,2.895326
-179.364198,155,2.918992
-280.194231,198,2.949313
-107.823054,90,2.963289
-182.052838,91,2.977234
-92.594363,182,3.004566
-200.78394,117,3.022091
-227.818176,85,3.035127
-336.20335,166,3.060092
-86.460935,92,3.075072
-250.53477,158,3.099375
-112.100783,114,3.117178
-261.398342,144,3.139021
-396.916594,124,3.158638
-186.032022,99,3.174389
-89.453122,163,3.199272
-130.93357,74,3.210818
-117.586663,123,3.450756
-64.626589,83,3.463786
-100.726672,115,3.481298
-36.09834,98,3.496605
-73.294621,78,3.50852
-71.834384,91,3.522404
-251.955346,106,3.538796
-229.318565,95,3.553165
