episode,reward,length,global_step
0,-236.120903,103,103
1,-304.677631,107,210
2,-292.234807,98,308
3,-147.076569,67,375
4,-104.054986,60,435
5,-99.134985,162,597
6,23.570001,225,822
7,-58.628358,215,1037
8,-176.530558,625,1662
9,-147.451252,1000,2662
10,-60.971052,252,2914
11,-134.484172,397,3311
12,-100.619692,1000,4311
13,-100.024548,618,4929
14,-61.56983,259,5188
15,-140.05389,380,5568
16,-45.081425,323,5891
17,-262.478826,328,6219
18,-42.121561,383,6602
19,-203.30262,125,6727
20,-0.458608,1000,7727
21,-127.969321,875,8602
22,20.976313,1000,9602
23,-51.743834,87,9689
24,-171.28536,101,9790
25,-135.995165,84,9874
26,-261.017942,151,10025
27,-219.322662,245,10270
28,-152.726085,355,10625
29,0.361095,1000,11625
30,32.716463,1000,12625
31,-122.18633,723,13348
32,44.238004,1000,14348
33,-41.317319,1000,15348
34,-19.69951,1000,16348
35,24.313287,1000,17348
36,-31.382308,1000,18348
37,-54.498911,144,18492
38,-84.659696,139,18631
39,-6.159533,171,18802
40,-39.471846,1000,19802
41,-238.783332,974,20776
42,-31.918802,1000,21776
43,-145.462754,978,22754
44,-186.88795,1000,23754
45,-41.885014,1000,24754
46,23.835635,1000,25754
47,41.747984,161,25915
48,-19.852546,1000,26915
49,-64.323568,535,27450
50,246.1879,834,28284
51,283.861552,336,28620
52,21.598183,1000,29620
53,-36.566859,1000,30620
54,-42.287115,1000,31620
55,-15.879942,1000,32620
56,-46.301106,1000,33620
57,-32.541189,1000,34620
58,-63.328283,1000,35620
59,-28.188415,1000,36620
60,-182.594916,676,37296
61,230.739123,377,37673
62,-163.463659,147,37820
63,215.710246,484,38304
64,51.30331,1000,39304
65,-55.347755,1000,40304
66,211.205798,424,40728
67,-16.56698,1000,41728
68,-80.247578,183,41911
69,196.909707,246,42157
70,-80.51592,1000,43157
71,72.726503,1000,44157
72,263.81008,320,44477
73,-25.856898,1000,45477
74,-81.47506,1000,46477
75,184.785401,569,47046
76,260.026824,273,47319
77,-24.656995,1000,48319
78,-15.709299,1000,49319
79,227.192926,357,49676
80,224.852329,301,49977
