#{"t_start": 1779905274.649219, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-350.416079,150,0.024343
-44.476533,86,0.037463
-246.559741,117,0.054421
-298.448767,91,0.067621
-468.005997,95,0.081771
-173.541252,110,0.09786
-306.116182,98,0.112738
-325.042496,121,0.130455
-87.535681,100,0.145049
-441.141251,231,0.178609
-333.76437,135,0.198493
-89.469641,124,0.216527
-320.37429,193,0.245411
-233.028861,151,0.268181
-181.67989,142,0.288952
-224.163524,78,0.300563
-143.003926,125,0.318583
-89.905708,117,0.335426
-195.124612,124,0.353233
-20.041507,110,0.369276
-229.318557,138,0.389308
-271.650796,108,0.404877
-404.490871,88,0.417624
-158.19844,100,0.431934
-444.418329,155,0.454266
-498.315751,113,0.470508
-477.917926,83,0.482523
-27.309991,108,0.49825
-30.041702,99,0.512604
-128.414578,121,0.530012
-280.451086,101,0.544596
-276.449236,88,0.557216
-149.600907,112,0.573457
-350.596211,117,0.590447
-426.770152,171,0.820578
-108.837687,152,0.844205
-75.186193,89,0.857581
-341.67193,123,0.875952
-68.232206,161,0.899502
-256.308957,107,0.915387
-323.938677,96,0.929539
-333.466649,138,0.949614
40.127004,95,0.963868
-106.039908,88,0.976763
-91.821893,72,0.9875
-60.722556,170,1.012268
-141.408004,108,1.028391
-381.570961,101,1.043233
-446.414246,98,1.057852
-390.797441,131,1.078642
-213.16548,111,1.095181
-226.656554,102,1.110312
-196.499743,64,1.120003
-309.910519,105,1.135294
-242.688678,108,1.151127
-62.248523,153,1.17375
-73.860274,141,1.194925
-12.162953,167,1.21929
-20.205813,71,1.22975
-236.473097,81,1.241655
-103.274824,132,1.262368
-61.146702,85,1.275548
-54.217591,74,1.286735
-114.953955,82,1.298814
-77.62284,78,1.31029
-130.854524,79,1.322001
-154.73468,64,1.331583
-316.432257,103,1.346549
-168.030272,136,1.367834
-407.836432,90,1.381256
-221.781235,162,1.405553
-496.446109,131,1.629925
-158.813017,176,1.656916
-56.885081,81,1.669548
-56.806335,115,1.686757
-294.969391,114,1.703488
-83.316737,88,1.716874
-405.617015,99,1.731574
-325.465187,133,1.751143
-254.74726,122,1.769181
-235.859251,93,1.782872
-263.341098,124,1.801376
-92.781782,71,1.811909
-54.525771,168,1.836986
-249.8447,152,1.860291
-262.044787,123,1.878392
-71.951452,148,1.900042
-283.141326,89,1.913204
-10.384039,106,1.928733
-79.059413,149,1.95038
-136.945935,63,1.959798
-185.186244,109,1.975632
-105.797491,81,1.987616
-40.273371,115,2.004537
-452.68938,148,2.026088
-176.07876,96,2.039978
-35.853506,76,2.051175
-175.148704,143,2.072175
-292.569638,98,2.08685
-303.166246,94,2.10072
-240.94822,93,2.114848
-68.079815,144,2.136179
-82.605415,85,2.148665
-80.263707,150,2.171128
-289.030348,151,2.19382
-604.118067,148,2.215637
-171.268765,77,2.227189
-66.165324,78,2.449135
-193.519758,117,2.466493
-660.875881,135,2.48734
-25.811359,109,2.503641
-45.258116,94,2.5177
-116.934746,97,2.531969
-162.905821,115,2.548794
-265.93006,86,2.56209
-512.774317,125,2.580402
-111.502913,68,2.590774
-540.115747,145,2.612077
-207.72872,112,2.628766
-71.2599,96,2.644526
-39.080249,77,2.656265
-163.022741,135,2.676885
-139.227596,130,2.695875
-157.771391,147,2.717475
-89.09225,125,2.735717
-67.459495,70,2.746027
-237.89804,120,2.763798
-301.55986,127,2.782357
-72.774156,75,2.793727
-99.172175,114,2.810512
-125.665851,77,2.82185
-163.157124,171,2.846845
-191.359393,165,2.870979
-458.170153,112,2.887436
-116.944686,79,2.899156
-348.317572,96,2.913296
-271.562449,129,2.932238
-372.44057,92,2.945663
8.431787,70,2.956231
-61.329496,114,2.972977
-204.718552,153,2.995561
-221.690324,127,3.014167
-347.622713,110,3.030499
-188.215626,100,3.045158
-129.918332,128,3.273976
-253.646933,157,3.297762
-91.89502,84,3.31043
-88.562362,136,3.330396
-93.319394,118,3.347665
-78.324479,135,3.367792
-62.128999,82,3.3799
-75.046644,89,3.393184
-318.498957,123,3.411409
-88.425111,77,3.422744
-58.797944,103,3.438219
-215.911337,111,3.45451
-90.384531,83,3.466763
-192.154907,80,3.478964
-276.803137,104,3.494137
-145.031031,103,3.509283
