#{"t_start": 1779905073.474872, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-350.416079,150,0.027653
-44.476533,86,0.057831
-246.559741,117,0.097399
-298.448767,91,0.113444
-468.005997,95,0.130324
-173.541252,110,0.148154
-306.116182,98,0.168761
-325.042496,121,0.187551
-87.535681,100,0.203292
-441.141251,231,0.240388
-333.76437,135,0.261928
-89.469641,124,0.282346
-320.37429,193,0.312368
-233.028861,151,0.337352
-181.67989,142,0.359181
-224.163524,78,0.37311
-150.104147,125,0.521337
-97.447212,119,0.541153
-59.087918,79,0.553659
-350.812509,168,0.581536
-300.970176,93,0.596273
-211.399793,111,0.614977
-285.020391,129,0.636708
-34.302301,140,0.659652
-140.739982,87,0.674517
-369.846647,129,0.694583
-328.307007,89,0.708818
-109.467207,111,0.727225
-91.208577,160,0.753448
-298.610539,99,0.770004
-80.553546,92,0.78391
-190.733733,145,0.808007
-156.801117,78,0.819809
-251.76304,105,0.836443
-108.431054,94,0.969283
14.817754,1000,1.134574
-373.002711,119,1.155038
-114.518194,160,1.183141
-106.259997,76,1.195323
-259.31501,107,1.213713
-227.614197,115,1.231852
-344.085528,135,1.253468
-259.938231,93,1.268509
-71.102278,128,1.288776
-215.847481,122,1.421639
-64.976126,106,1.43938
-219.354672,180,1.467724
-103.921615,120,1.486219
-275.483233,89,1.501021
-219.031499,189,1.531278
-231.768241,90,1.545447
-175.168079,111,1.562463
-30.232621,90,1.57617
-136.941196,78,1.587689
-154.203497,124,1.60606
-273.283794,101,1.621191
-335.05387,177,1.647548
-149.855043,138,1.668346
-27.368081,110,1.684863
-383.362338,242,1.720396
-393.19053,129,1.857563
-161.361058,139,1.880354
-78.174406,108,1.897202
-52.705591,140,1.919254
-345.739496,184,1.948162
-387.506431,134,1.97
-19.257924,133,1.99117
-236.079263,139,2.01307
-404.875539,140,2.034472
-147.548945,204,2.064741
-203.299674,138,2.085457
-60.37112,225,2.118314
-61.823686,94,2.133883
-254.85984,137,2.154674
-97.948216,117,2.275866
-129.804273,134,2.296413
-359.793687,179,2.323557
-81.048651,87,2.337131
-45.171954,109,2.35405
-256.252633,151,2.376405
-223.09566,145,2.397756
-193.577453,132,2.417042
-81.670464,78,2.428576
-56.048021,78,2.440141
-190.153009,153,2.462976
-60.752011,106,2.478686
-323.326569,175,2.505142
-232.748322,257,2.543278
-101.248919,194,2.675679
-204.533155,112,2.692646
-118.392455,107,2.708605
-472.35932,212,2.739781
-213.252162,200,2.769317
-88.732624,139,2.789631
-354.557662,159,2.812798
-47.533481,168,2.837271
-122.782581,106,2.852972
-35.001181,150,2.875288
-98.313733,141,2.896148
-168.630602,132,2.91594
-143.262408,257,2.953338
-66.101677,153,3.079291
-153.679064,177,3.105858
-4.327426,97,3.120418
-60.147271,135,3.140541
-240.210012,157,3.164035
-50.452807,160,3.187788
-0.275102,137,3.207917
-65.666819,139,3.22839
-111.247706,174,3.253981
-76.786668,143,3.275215
-333.686763,125,3.293913
-128.633296,167,3.318455
-71.034655,173,3.343749
-209.231014,153,3.36604
-298.578234,164,3.493276
-292.882737,212,3.52503
-125.412826,120,3.542916
-220.097556,129,3.562005
-70.189284,156,3.585145
-183.038005,106,3.600929
-181.12183,171,3.626299
-13.212073,123,3.644712
-33.075296,100,3.65953
-28.220537,144,3.681536
-314.22439,206,3.712361
-270.079071,120,3.730809
-235.784863,237,3.766588
-51.316407,159,3.891897
-113.032944,1000,4.041372
-2.355803,131,4.060716
-139.010789,389,4.118563
-125.638882,135,4.138521
-18.408267,105,4.154104
55.018493,1000,4.407929
-94.514634,206,4.438872
-103.819568,265,4.477493
-88.892369,125,4.496811
-41.080674,164,4.521397
8.811543,181,4.548033
-101.331722,116,4.565031
-174.930394,210,4.596661
-82.207484,244,4.735848
-49.071961,256,4.773694
14.752788,172,4.799846
-0.255154,209,4.83085
30.127043,142,4.852098
-66.723051,126,4.871525
30.419432,129,4.890924
-2.082588,123,4.909232
-111.68885,240,4.944462
-72.675342,205,4.974369
-24.120561,145,4.995752
-45.677678,189,5.23089
78.468315,1000,5.397917
67.798074,1000,5.652552
33.095149,111,5.66925
-40.427502,203,5.699344
-0.601838,1000,5.854632
40.384344,1000,6.112697
3.686372,185,6.140026
26.212868,174,6.165512
-18.637745,345,6.215945
-220.503271,215,6.247651
85.14209,1000,6.506823
-2.961703,240,6.543088
-204.895822,224,6.577695
-22.903416,222,6.610615
-17.381529,229,6.644145
3.177009,184,6.671246
52.26925,1000,6.930819
-43.76268,406,6.990522
-126.294329,207,7.021046
-141.228294,399,7.079295
47.891712,1000,7.335396
1.078479,1000,7.488317
-51.254567,229,7.522374
61.600963,1000,7.784581
-15.943445,293,7.828279
34.284216,1000,7.98418
-59.452202,295,8.027658
-208.661685,374,8.187034
-44.518672,220,8.220875
95.595289,1000,8.379533
-169.915942,580,8.567706
-139.835723,375,8.624874
70.587923,1000,8.787307
-9.052324,160,8.811657
-64.928571,286,8.853853
57.002156,1000,9.117253
54.725994,1000,9.274594
19.807514,1000,9.530905
44.570142,181,9.558144
36.265699,197,9.58734
-4.839416,324,9.634652
-147.67369,406,9.694397
-100.612322,859,9.930032
-5.115698,204,9.9602
73.165607,1000,10.113157
66.837433,1000,10.371089
43.696666,1000,10.526955
