episode,reward,length,global_step
0,-350.416079,150,150
1,-44.476533,86,236
2,-246.559741,117,353
3,-298.448767,91,444
4,-468.005997,95,539
5,-173.541252,110,649
6,-306.116182,98,747
7,-325.042496,121,868
8,-87.535681,100,968
9,-441.141251,231,1199
10,-333.76437,135,1334
11,-89.469641,124,1458
12,-320.37429,193,1651
13,-233.028861,151,1802
14,-181.67989,142,1944
15,-224.163524,78,2022
16,-150.104147,125,2147
17,-97.447212,119,2266
18,-59.087918,79,2345
19,-350.812509,168,2513
20,-300.970176,93,2606
21,-211.399793,111,2717
22,-285.020391,129,2846
23,-34.302301,140,2986
24,-140.739982,87,3073
25,-369.846647,129,3202
26,-328.307007,89,3291
27,-109.467207,111,3402
28,-91.208577,160,3562
29,-298.610539,99,3661
30,-80.553546,92,3753
31,-190.733733,145,3898
32,-156.801117,78,3976
33,-251.76304,105,4081
34,-108.431054,94,4175
35,14.817754,1000,5175
36,-373.002711,119,5294
37,-114.518194,160,5454
38,-106.259997,76,5530
39,-259.31501,107,5637
40,-227.614197,115,5752
41,-344.085528,135,5887
42,-259.938231,93,5980
43,-71.102278,128,6108
44,-215.847481,122,6230
45,-64.976126,106,6336
46,-219.354672,180,6516
47,-103.921615,120,6636
48,-275.483233,89,6725
49,-219.031499,189,6914
50,-231.768241,90,7004
51,-175.168079,111,7115
52,-30.232621,90,7205
53,-136.941196,78,7283
54,-154.203497,124,7407
55,-273.283794,101,7508
56,-335.05387,177,7685
57,-149.855043,138,7823
58,-27.368081,110,7933
59,-383.362338,242,8175
60,-393.19053,129,8304
61,-161.361058,139,8443
62,-78.174406,108,8551
63,-52.705591,140,8691
64,-345.739496,184,8875
65,-387.506431,134,9009
66,-19.257924,133,9142
67,-236.079263,139,9281
68,-404.875539,140,9421
69,-147.548945,204,9625
70,-203.299674,138,9763
71,-60.37112,225,9988
72,-61.823686,94,10082
73,-254.85984,137,10219
74,-97.948216,117,10336
75,-129.804273,134,10470
76,-359.793687,179,10649
77,-81.048651,87,10736
78,-45.171954,109,10845
79,-256.252633,151,10996
80,-223.09566,145,11141
81,-193.577453,132,11273
82,-81.670464,78,11351
83,-56.048021,78,11429
84,-190.153009,153,11582
85,-60.752011,106,11688
86,-323.326569,175,11863
87,-232.748322,257,12120
88,-101.248919,194,12314
89,-204.533155,112,12426
90,-118.392455,107,12533
91,-472.35932,212,12745
92,-213.252162,200,12945
93,-88.732624,139,13084
94,-354.557662,159,13243
95,-47.533481,168,13411
96,-122.782581,106,13517
97,-35.001181,150,13667
98,-98.313733,141,13808
99,-168.630602,132,13940
100,-143.262408,257,14197
101,-66.101677,153,14350
102,-153.679064,177,14527
103,-4.327426,97,14624
104,-60.147271,135,14759
105,-240.210012,157,14916
106,-50.452807,160,15076
107,-0.275102,137,15213
108,-65.666819,139,15352
109,-111.247706,174,15526
110,-76.786668,143,15669
111,-333.686763,125,15794
112,-128.633296,167,15961
113,-71.034655,173,16134
114,-209.231014,153,16287
115,-298.578234,164,16451
116,-292.882737,212,16663
117,-125.412826,120,16783
118,-220.097556,129,16912
119,-70.189284,156,17068
120,-183.038005,106,17174
121,-181.12183,171,17345
122,-13.212073,123,17468
123,-33.075296,100,17568
124,-28.220537,144,17712
125,-314.22439,206,17918
126,-270.079071,120,18038
127,-235.784863,237,18275
128,-51.316407,159,18434
129,-113.032944,1000,19434
130,-2.355803,131,19565
131,-139.010789,389,19954
132,-125.638882,135,20089
133,-18.408267,105,20194
134,55.018493,1000,21194
135,-94.514634,206,21400
136,-103.819568,265,21665
137,-88.892369,125,21790
138,-41.080674,164,21954
139,8.811543,181,22135
140,-101.331722,116,22251
141,-174.930394,210,22461
142,-82.207484,244,22705
143,-49.071961,256,22961
144,14.752788,172,23133
145,-0.255154,209,23342
146,30.127043,142,23484
147,-66.723051,126,23610
148,30.419432,129,23739
149,-2.082588,123,23862
150,-111.68885,240,24102
151,-72.675342,205,24307
152,-24.120561,145,24452
153,-45.677678,189,24641
154,78.468315,1000,25641
155,67.798074,1000,26641
156,33.095149,111,26752
157,-40.427502,203,26955
158,-0.601838,1000,27955
159,40.384344,1000,28955
160,3.686372,185,29140
161,26.212868,174,29314
162,-18.637745,345,29659
163,-220.503271,215,29874
164,85.14209,1000,30874
165,-2.961703,240,31114
166,-204.895822,224,31338
167,-22.903416,222,31560
168,-17.381529,229,31789
169,3.177009,184,31973
170,52.26925,1000,32973
171,-43.76268,406,33379
172,-126.294329,207,33586
173,-141.228294,399,33985
174,47.891712,1000,34985
175,1.078479,1000,35985
176,-51.254567,229,36214
177,61.600963,1000,37214
178,-15.943445,293,37507
179,34.284216,1000,38507
180,-59.452202,295,38802
181,-208.661685,374,39176
182,-44.518672,220,39396
183,95.595289,1000,40396
184,-169.915942,580,40976
185,-139.835723,375,41351
186,70.587923,1000,42351
187,-9.052324,160,42511
188,-64.928571,286,42797
189,57.002156,1000,43797
190,54.725994,1000,44797
191,19.807514,1000,45797
192,44.570142,181,45978
193,36.265699,197,46175
194,-4.839416,324,46499
195,-147.67369,406,46905
196,-100.612322,859,47764
197,-5.115698,204,47968
198,73.165607,1000,48968
199,66.837433,1000,49968
200,43.696666,1000,50968
201,92.772098,1000,51968
202,103.738032,1000,52968
203,-142.987444,831,53799
204,-17.574115,336,54135
205,113.452069,1000,55135
206,-30.132856,318,55453
207,92.670461,1000,56453
208,73.906571,1000,57453
209,51.285376,1000,58453
210,61.513912,1000,59453
211,-35.662512,413,59866
212,53.983106,1000,60866
213,68.661167,1000,61866
214,58.792901,1000,62866
215,9.918198,231,63097
216,80.998707,1000,64097
217,27.369594,1000,65097
218,125.953445,1000,66097
219,82.04429,1000,67097
220,103.236278,1000,68097
221,92.146746,1000,69097
222,-91.876134,1000,70097
223,100.439816,1000,71097
224,137.744434,1000,72097
225,110.89303,1000,73097
226,-47.358568,1000,74097
227,123.298383,1000,75097
228,-184.407525,397,75494
229,-351.378952,985,76479
230,-9.614184,1000,77479
231,-127.647019,1000,78479
232,146.074362,703,79182
233,-13.45853,311,79493
234,-0.434142,1000,80493
235,101.860139,1000,81493
236,54.014159,1000,82493
237,72.307089,1000,83493
238,82.502496,1000,84493
239,16.531183,1000,85493
240,105.270161,1000,86493
241,75.805558,1000,87493
242,-18.527619,1000,88493
243,-130.307076,455,88948
244,-95.939348,358,89306
245,14.619855,1000,90306
246,131.379284,619,90925
247,75.489096,1000,91925
248,41.912564,1000,92925
249,82.924077,1000,93925
250,103.736689,869,94794
251,141.935296,796,95590
252,139.763273,777,96367
253,44.630796,1000,97367
254,81.310845,1000,98367
255,57.48198,1000,99367
256,52.876615,1000,100367
257,109.612995,768,101135
258,7.358743,1000,102135
259,156.224457,741,102876
260,53.355501,1000,103876
261,158.549928,750,104626
262,52.362538,1000,105626
263,58.817016,1000,106626
264,20.619711,1000,107626
265,69.331967,1000,108626
266,-52.220777,1000,109626
267,139.130777,713,110339
268,53.857412,1000,111339
269,28.691951,1000,112339
270,-80.641506,1000,113339
271,39.227028,1000,114339
272,125.094323,844,115183
273,62.176522,1000,116183
274,126.22389,930,117113
275,75.117711,1000,118113
276,144.521785,965,119078
277,37.357658,1000,120078
278,54.772021,1000,121078
279,115.142831,1000,122078
280,146.207757,674,122752
281,70.538928,1000,123752
282,180.19589,599,124351
283,110.014535,1000,125351
284,158.990518,587,125938
285,146.593366,615,126553
286,-97.533562,560,127113
287,-8.722677,1000,128113
288,92.153437,1000,129113
289,68.935081,1000,130113
290,107.799417,1000,131113
291,75.136051,1000,132113
292,44.710662,1000,133113
293,89.673575,1000,134113
294,74.738673,1000,135113
295,96.832495,1000,136113
296,191.974083,625,136738
297,-76.435409,480,137218
298,168.088615,571,137789
299,96.994242,1000,138789
300,138.982805,760,139549
301,96.811807,1000,140549
302,170.722391,581,141130
303,-47.773276,546,141676
304,32.385465,1000,142676
305,-31.287093,536,143212
306,77.227644,1000,144212
307,164.281274,619,144831
308,194.724052,619,145450
309,63.031258,1000,146450
310,122.218613,624,147074
311,80.881446,1000,148074
312,16.274118,1000,149074
313,73.299068,1000,150074
314,66.539883,1000,151074
315,-54.420292,569,151643
316,142.574126,643,152286
317,48.310809,834,153120
318,159.38808,654,153774
319,182.8551,598,154372
320,164.445621,603,154975
321,72.671619,1000,155975
322,190.906186,618,156593
323,78.756496,1000,157593
324,-40.384953,501,158094
325,75.669281,1000,159094
326,109.219233,718,159812
