episode,reward,length,global_step
0,-99.127333,133,133
1,-337.804175,86,219
2,-188.462644,109,328
3,-347.458816,115,443
4,-43.315708,80,523
5,-142.109444,141,664
6,-495.712405,99,763
7,-149.59918,66,829
8,-17.077722,102,931
9,-111.128488,96,1027
10,-153.716534,77,1104
11,-305.616343,102,1206
12,-40.866896,67,1273
13,-440.622334,116,1389
14,-349.707111,174,1563
15,-567.796685,143,1706
16,-217.296735,84,1790
17,-243.117775,96,1886
18,-100.37895,113,1999
19,-196.114242,142,2141
20,-267.058406,119,2260
21,-95.103755,129,2389
22,-257.117114,136,2525
23,-56.913007,99,2624
24,-149.290458,233,2857
25,-39.705964,82,2939
26,-62.454889,78,3017
27,-37.555823,95,3112
28,-420.196035,143,3255
29,-475.011177,117,3372
30,-107.790727,105,3477
31,-336.729869,94,3571
32,-474.070644,191,3762
33,-137.011725,116,3878
34,-189.624281,116,3994
35,-370.130071,117,4111
36,-285.711215,255,4366
37,-354.628774,119,4485
38,-45.621442,93,4578
39,-122.288175,92,4670
40,-51.666833,95,4765
41,-287.96171,87,4852
42,-115.233853,126,4978
43,-504.637139,113,5091
44,-117.560785,96,5187
45,-56.368347,93,5280
46,-199.380892,115,5395
47,-66.16531,87,5482
48,-308.714319,147,5629
49,-229.697691,119,5748
50,-70.417606,93,5841
51,-127.658258,129,5970
52,-293.213931,210,6180
53,-329.35613,139,6319
54,-154.657419,136,6455
55,-93.153217,224,6679
56,-86.105281,209,6888
57,-76.333476,133,7021
58,-61.066707,87,7108
59,-287.495175,162,7270
60,-246.783562,146,7416
61,-161.744167,126,7542
62,-81.081797,85,7627
63,-188.71451,98,7725
64,-100.791274,107,7832
65,-294.617824,163,7995
66,11.015765,132,8127
67,-41.830188,197,8324
68,-139.435498,103,8427
69,-62.230952,102,8529
70,-89.966735,92,8621
71,-27.657026,131,8752
72,-51.935814,84,8836
73,-240.99843,90,8926
74,-30.961038,142,9068
75,-46.057225,106,9174
76,-599.058398,192,9366
77,-160.178314,171,9537
78,-154.427255,139,9676
79,-18.425856,81,9757
80,-51.961738,125,9882
81,-91.552754,89,9971
82,-50.940142,139,10110
83,-104.843837,82,10192
84,-292.581768,739,10931
85,-109.196162,147,11078
86,-152.003624,145,11223
87,-39.543645,169,11392
88,-255.115671,144,11536
89,-91.844227,89,11625
90,-95.61089,249,11874
91,-106.579614,147,12021
92,26.336049,193,12214
93,20.535349,118,12332
94,-213.856125,180,12512
95,-267.666968,249,12761
96,-164.944116,113,12874
97,-204.867322,102,12976
98,-351.395599,235,13211
99,-161.840024,174,13385
100,-73.496564,125,13510
101,-201.913718,100,13610
102,-66.897398,207,13817
103,-106.142812,150,13967
104,-98.489925,109,14076
105,15.864549,113,14189
106,-79.242511,94,14283
107,-103.182087,237,14520
108,-37.279401,160,14680
109,-87.186075,122,14802
110,5.215527,103,14905
111,-27.381908,100,15005
112,-55.600945,146,15151
113,-45.904453,165,15316
114,-55.611999,157,15473
115,-302.288116,176,15649
116,-64.23804,150,15799
117,-127.122381,133,15932
118,-255.485997,131,16063
119,-223.543589,99,16162
120,-29.434729,185,16347
121,-195.437073,198,16545
122,-200.877846,111,16656
123,-286.062822,211,16867
124,-280.922529,271,17138
125,-236.075685,229,17367
126,-90.917586,288,17655
127,-103.487037,204,17859
128,-426.326571,194,18053
129,-139.748912,236,18289
130,-202.629168,519,18808
131,38.592456,218,19026
132,-47.692877,142,19168
133,-241.655789,258,19426
134,-10.124688,1000,20426
135,-297.25928,241,20667
136,-160.095107,273,20940
137,-317.59415,779,21719
138,-246.912553,218,21937
139,56.537898,200,22137
140,-285.077346,234,22371
141,-203.48586,184,22555
142,-34.851799,166,22721
143,-92.841399,219,22940
144,-28.878208,207,23147
145,-185.974331,250,23397
146,-63.527248,234,23631
147,54.846051,150,23781
148,-221.399805,152,23933
149,-7.734491,350,24283
150,40.25155,180,24463
151,-51.465068,1000,25463
152,-273.70218,304,25767
153,-237.900399,469,26236
154,-232.937793,388,26624
155,-338.99116,227,26851
156,-119.312012,625,27476
157,10.426242,1000,28476
158,-32.904974,160,28636
159,11.017307,1000,29636
160,-240.135046,356,29992
161,-447.378221,327,30319
162,-285.797681,399,30718
163,-157.807377,253,30971
164,-1.440085,1000,31971
165,-433.930642,601,32572
166,-81.407968,761,33333
167,-325.770465,309,33642
168,-309.648678,372,34014
169,-657.085545,464,34478
170,-364.582937,304,34782
171,-117.052272,450,35232
172,-281.657193,424,35656
173,-484.863733,441,36097
174,-369.429815,313,36410
175,-71.600746,286,36696
176,-406.799544,400,37096
177,-188.326901,315,37411
178,-32.026661,345,37756
179,-8.7067,1000,38756
180,-162.167391,321,39077
181,-130.767323,397,39474
182,-192.189416,171,39645
183,-201.732899,452,40097
184,-230.094757,681,40778
185,-331.029358,617,41395
186,-179.24594,737,42132
187,46.757035,1000,43132
188,49.786003,1000,44132
189,-223.977877,444,44576
190,31.501775,1000,45576
191,51.949198,1000,46576
192,99.321538,1000,47576
193,34.485051,1000,48576
194,-24.441872,1000,49576
195,44.205291,1000,50576
196,-76.574071,1000,51576
197,37.941094,1000,52576
198,63.851799,1000,53576
199,-167.682934,1000,54576
200,-42.720419,1000,55576
201,-42.038864,1000,56576
202,-94.252509,781,57357
203,-34.103191,1000,58357
204,-49.617122,1000,59357
205,26.372415,1000,60357
206,33.017349,1000,61357
207,-90.277946,1000,62357
208,84.812261,1000,63357
209,-57.87355,1000,64357
210,64.554109,1000,65357
211,-55.176875,1000,66357
212,-21.978094,1000,67357
213,-65.774224,1000,68357
214,-48.001045,1000,69357
215,-61.793588,1000,70357
216,1.065045,1000,71357
217,-77.42009,1000,72357
218,-76.514105,1000,73357
219,-46.025828,1000,74357
220,11.732503,1000,75357
221,-34.359591,1000,76357
222,-66.103689,1000,77357
223,-2.879021,1000,78357
224,-2.74746,1000,79357
225,65.400148,1000,80357
226,-80.375121,1000,81357
227,-149.113987,779,82136
228,-171.869155,983,83119
229,-3.804615,1000,84119
230,-112.782912,1000,85119
231,-70.539243,1000,86119
232,-0.625058,1000,87119
233,-58.445106,1000,88119
234,16.391561,1000,89119
235,-33.740509,1000,90119
236,-45.492433,1000,91119
237,-97.849676,1000,92119
238,-86.454258,1000,93119
239,-69.571685,1000,94119
240,-50.99226,1000,95119
241,-193.576415,718,95837
242,-251.326588,891,96728
243,-142.110601,959,97687
244,-76.485985,1000,98687
245,-13.872294,1000,99687
246,-105.324624,1000,100687
247,-8.457491,1000,101687
248,-47.832,1000,102687
249,-72.650287,1000,103687
250,-16.256122,1000,104687
251,53.988567,1000,105687
252,49.894604,1000,106687
253,-88.252217,1000,107687
254,-74.629498,1000,108687
255,20.835398,1000,109687
256,-80.100399,1000,110687
257,-121.965458,1000,111687
258,-79.608216,1000,112687
259,83.627647,915,113602
260,-44.779977,1000,114602
261,-129.467968,1000,115602
262,-101.11683,1000,116602
263,94.507464,764,117366
264,-119.461464,689,118055
265,-67.368367,1000,119055
266,115.881225,883,119938
267,-83.531587,1000,120938
268,-104.634352,1000,121938
269,-26.669886,1000,122938
270,-130.815607,315,123253
271,125.890139,615,123868
272,40.732994,980,124848
273,-28.825126,1000,125848
274,-250.084575,950,126798
275,-35.213901,1000,127798
276,-204.218871,987,128785
277,-126.911636,1000,129785
278,-161.171892,521,130306
279,-41.307279,1000,131306
280,11.305374,1000,132306
281,-52.742482,1000,133306
282,-93.272856,1000,134306
283,0.446808,1000,135306
284,-5.343297,1000,136306
285,-149.770393,546,136852
286,3.417027,1000,137852
287,137.415331,917,138769
288,-58.647765,1000,139769
289,13.142168,1000,140769
290,-84.279323,1000,141769
291,140.922219,873,142642
