episode,reward,length,global_step
0,-373.476891,145,145
1,-308.752113,120,265
2,-135.66589,79,344
3,-140.059295,62,406
4,-144.321753,65,471
5,-328.46306,61,532
6,-256.757286,51,583
7,-280.490212,52,635
8,-644.193688,72,707
9,-796.592129,99,806
10,-1213.415433,250,1056
11,-89.993383,135,1191
12,-112.612361,54,1245
13,-169.492718,74,1319
14,-112.564595,80,1399
15,-118.453914,67,1466
16,-123.941405,69,1535
17,-118.789867,64,1599
18,-137.834884,66,1665
19,-101.366104,61,1726
20,-140.993982,58,1784
21,-81.434991,52,1836
22,-110.673267,73,1909
23,-94.004138,54,1963
24,-116.303048,82,2045
25,-108.221681,88,2133
26,-110.754125,53,2186
27,-112.261678,82,2268
28,-140.139479,65,2333
29,-123.84136,79,2412
30,-104.092286,83,2495
31,-96.799675,88,2583
32,-112.927553,63,2646
33,-107.287879,58,2704
34,-140.81306,79,2783
35,-122.49482,90,2873
36,-137.643141,65,2938
37,-127.200132,60,2998
38,-147.547283,88,3086
39,-137.383699,67,3153
40,-120.591167,72,3225
41,-94.8202,63,3288
42,-96.884532,55,3343
43,-136.265879,84,3427
44,-128.672104,66,3493
45,-112.28319,81,3574
46,-124.354494,79,3653
47,-89.614662,53,3706
48,-124.750395,65,3771
49,-122.800802,67,3838
50,-99.81744,53,3891
51,-136.953495,84,3975
52,-115.727093,75,4050
53,-109.55599,70,4120
54,-95.331913,59,4179
55,-109.528528,76,4255
56,-101.286492,54,4309
57,-138.327437,67,4376
58,-137.899228,56,4432
59,-118.415344,67,4499
60,-148.79187,76,4575
61,-104.857884,61,4636
62,-129.436618,77,4713
63,-97.692738,61,4774
64,-142.621221,82,4856
65,-148.850523,59,4915
66,-160.339981,63,4978
67,-108.143123,62,5040
68,-144.782109,92,5132
69,-122.52112,87,5219
70,-122.621806,62,5281
71,-145.733757,88,5369
72,-122.739065,81,5450
73,-161.030567,99,5549
74,-179.179678,105,5654
75,-118.809847,73,5727
76,-137.602426,72,5799
77,-167.174597,98,5897
78,-256.345886,84,5981
79,-170.56764,95,6076
80,-50.779501,77,6153
81,-15.605173,88,6241
82,-128.461999,85,6326
83,-152.636068,57,6383
84,-146.724789,94,6477
85,-87.455737,84,6561
86,-407.32837,100,6661
87,-118.88701,86,6747
88,-217.049996,86,6833
89,-34.455821,83,6916
90,-119.105039,62,6978
91,-188.522778,88,7066
92,-202.270022,108,7174
93,-224.804799,102,7276
94,-228.3648,127,7403
95,-119.047413,67,7470
96,-172.377419,71,7541
97,-159.449237,91,7632
98,-328.274118,965,8597
99,-206.154044,184,8781
100,-231.736912,102,8883
