#{"t_start": 1779911879.4853828, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-106.561271,100,0.014696
-215.36472,82,0.127546
-648.640689,78,0.237988
-734.98267,63,0.328319
-226.676474,53,0.40126
-401.654906,112,0.554923
-305.969167,69,0.650101
-1216.647803,92,0.777591
-189.521434,58,0.857662
-595.074687,76,0.962127
-442.864419,97,1.094916
-1992.355645,192,1.364343
-309.503423,94,1.495932
-271.632258,107,1.6434
-131.936796,93,1.771322
-158.438556,89,1.893845
-126.985797,109,2.042519
-47.27813,203,2.321594
-138.128454,102,2.462271
-67.17627,136,2.647472
-61.39419,72,2.746135
-118.321973,71,2.844137
-81.437659,87,2.964057
-127.161674,71,3.060883
-165.112512,67,3.152611
-217.962895,74,3.253948
-140.888299,85,3.371225
-224.509134,86,3.48901
-240.379692,119,3.65196
-233.8965,69,3.746403
-149.899103,321,4.189314
-226.114686,81,4.300704
-183.476644,234,4.622461
-197.20854,82,4.735294
-4.128577,182,4.987046
-70.520042,137,5.174938
-130.977472,111,5.327957
-173.157039,101,5.466882
-125.931102,118,5.628631
-128.349136,158,5.846914
-130.242094,89,5.969322
-170.78308,111,6.122156
-90.193469,94,6.251114
-294.314952,97,6.385792
-344.530727,116,6.545279
-54.352767,97,6.67987
-350.667945,99,6.816988
-465.773235,103,6.959175
-375.886901,133,7.141234
-346.470758,152,7.350759
-509.489044,115,7.508306
-205.872431,114,7.664519
-541.247711,120,7.830104
-706.304972,138,8.019708
-364.059459,92,8.145735
-449.001769,148,8.35025
-488.014067,147,8.552048
-175.456833,136,8.738872
-276.008587,291,9.141743
-47.643501,183,9.39497
-191.254734,294,9.799549
-218.476012,159,10.019118
-287.541522,450,10.635998
-87.720414,199,10.91022
-229.537647,270,11.282001
-216.462243,182,11.533472
-277.443364,193,11.798905
-221.321303,138,11.988732
-123.866724,136,12.175575
-119.488238,82,12.288163
-265.158412,123,12.457655
-307.893231,93,12.585148
-69.91965,80,12.69481
-73.961249,92,12.822094
-143.690106,161,13.04453
-48.472962,176,13.286097
-64.321464,120,13.451985
-105.305351,84,13.56754
-127.021825,267,13.934572
-210.129685,89,14.056664
-271.237063,304,14.474948
-201.488701,383,15.000037
-37.23633,131,15.180549
-86.264636,118,15.343514
-96.408836,106,15.489299
-117.291142,238,15.816176
-82.911435,63,15.903458
-199.3855,285,16.293306
-104.394863,85,16.411467
-0.124046,122,16.579119
-144.392773,253,16.926699
193.380611,309,17.370837
-110.909162,57,17.449248
-39.773053,77,17.555481
-130.871498,666,18.468936
-97.388921,82,18.581327
-58.732292,87,18.700335
26.900673,265,19.066095
7.479672,85,19.182457
-0.67586,116,19.342571
-101.80239,254,19.692821
-9.847029,219,19.995844
-79.742974,65,20.085263
-140.904499,92,20.211478
-48.902732,73,20.312797
-58.322072,83,20.427459
-27.692349,213,20.719304
-43.48418,207,21.003811
-67.180355,176,21.243482
-121.915443,61,21.330884
-24.780862,210,21.622533
-59.327811,84,21.738908
-52.511521,97,21.87283
-49.447147,99,22.008982
-44.983731,120,22.173597
-246.727237,231,22.49103
-39.1895,81,22.602856
-86.010394,166,22.83182
-111.857703,58,22.912402
-33.409486,119,23.076337
-59.4606,124,23.246601
-56.126506,73,23.34892
-30.552124,124,23.519817
-38.252541,114,23.678055
-56.507777,91,23.804332
-80.696953,187,24.062646
-37.917903,111,24.214993
-66.595009,68,24.308724
-71.662588,85,24.42758
-69.887981,146,24.628358
-81.685218,95,24.758399
-52.451472,90,24.883626
-57.809757,136,25.070811
-30.866031,78,25.178206
-89.49651,98,25.313359
-79.219387,142,25.509567
-56.124462,99,25.645978
-50.426183,144,25.846863
-62.048912,141,26.04132
-75.719587,160,26.261595
-80.875746,82,26.376478
-69.087555,84,26.492874
-63.646262,76,26.604702
-30.020789,138,26.795016
-46.884625,97,26.92978
-36.078452,141,27.123386
-32.395135,74,27.225184
-65.202706,81,27.338452
-69.445133,72,27.438211
-93.33186,173,27.675372
-59.517425,74,27.776966
-32.397342,107,27.927148
-39.855559,71,28.025616
-48.010495,101,28.164985
-65.88601,66,28.255924
-41.744906,73,28.357624
-71.373966,140,28.551061
-31.47323,149,28.756067
-117.874061,132,28.940452
-219.344827,162,29.163644
-59.439796,89,29.285862
-140.300512,187,29.544469
-63.78795,83,29.657956
-31.791991,123,29.828623
-126.636126,176,30.073273
-62.5357,81,30.184817
-38.381196,138,30.376569
-52.321535,83,30.491396
-22.940325,113,30.647874
-49.761066,183,30.901767
-63.416636,74,31.00443
-84.788317,77,31.110173
-51.292988,83,31.224705
-51.877216,80,31.335258
-53.451901,90,31.460622
-47.148687,195,31.728412
-64.792544,79,31.837986
-55.420892,69,31.933908
-34.70042,169,32.168032
-10.514029,76,32.27399
-74.005589,84,32.391507
-28.673742,68,32.485593
-9.052753,185,32.738961
-19.612508,62,32.824704
-18.406656,211,33.117944
-63.643889,68,33.211497
-48.685113,61,33.295451
-66.943811,60,33.379234
-96.311215,83,33.494555
-76.689695,74,33.596589
12.714534,100,33.734298
-83.982794,78,33.842517
-59.063677,78,33.951025
-58.677856,194,34.217428
-57.205448,207,34.505354
-102.17404,234,34.826558
-53.004999,93,34.956485
-82.373549,62,35.04172
-86.783448,77,35.147355
-47.333229,55,35.223795
-68.309271,79,35.332161
-89.401597,322,35.775065
-69.164906,84,35.891783
-100.775298,239,36.231016
-44.730053,105,36.384792
-154.219936,340,36.870412
-75.726587,80,36.980941
-78.971682,95,37.111715
40.603121,308,37.537459
-43.024629,151,37.745154
-23.781481,100,37.883676
-202.409635,353,38.373554
-61.215493,315,38.80931
-301.399381,210,39.10148
-230.986064,92,39.228241
-241.073052,83,39.343075
-58.592839,83,39.458608
-420.342824,119,39.622266
-73.113332,86,39.741753
-66.84568,67,39.833974
-55.718674,72,39.934769
-74.604263,93,40.063356
-76.313877,93,40.191025
-65.679012,102,40.331445
194.119991,225,40.644075
-1271.74872,110,40.798192
-54.18918,75,40.903004
-70.56073,90,41.027107
-76.91053,90,41.150996
-64.051973,60,41.233827
-47.581363,56,41.31078
-69.096477,96,41.444656
-58.354587,91,41.570529
-59.098768,63,41.657217
-67.478278,58,41.736996
-26.749919,105,41.882804
-28.702184,57,41.961801
-53.488183,57,42.040455
-176.597926,160,42.26105
-51.648958,84,42.378486
-52.07392,62,42.464727
-76.398659,84,42.580324
-59.775238,356,43.074415
-43.155498,140,43.267319
-76.797698,69,43.362842
-39.242025,86,43.48583
-47.142391,63,43.573936
-73.758718,92,43.700807
-67.007604,60,43.783429
-25.022406,74,43.886246
-52.210286,64,43.974945
-79.206412,96,44.107081
-59.691778,60,44.189885
-68.864612,99,44.325892
-69.975049,106,44.473427
-48.199233,83,44.587783
-88.719722,97,44.720916
-272.544836,128,44.89792
-66.797769,96,45.031862
-77.36017,86,45.150389
-6.353608,89,45.273458
-42.291727,105,45.419511
-72.942149,85,45.537232
-68.476312,69,45.632477
-52.010119,88,45.753835
-132.503274,613,46.599401
-64.518936,85,46.716753
136.470446,298,47.133698
-95.914558,80,47.244371
-118.987264,96,47.377422
-74.187053,74,47.480592
-104.705045,105,47.625665
-63.315082,129,47.803275
-47.831289,99,47.941443
-142.005668,140,48.134269
-107.484513,292,48.53678
-82.191544,95,48.667279
-260.139903,436,49.273079
-285.299038,449,49.892325
-29.383948,76,49.998308
-230.029487,453,50.622551
-183.018831,154,50.834308
-158.197973,244,51.17139
-128.612354,167,51.404754
-151.060696,369,51.915351
-127.958503,51,51.986402
-61.945288,115,52.147751
-187.386919,310,52.576395
-154.07158,83,52.690819
-222.391808,285,53.084601
-137.52239,86,53.202924
-102.928498,305,53.627034
-136.17547,79,53.735961
-72.408102,114,53.893727
-212.287416,285,54.287083
-101.160979,100,54.426891
-122.733056,113,54.583029
-85.321314,223,54.891204
-103.13809,135,55.077246
-111.350979,105,55.221739
-97.161928,111,55.374484
-123.28308,127,55.553107
-43.118111,86,55.673037
-259.115108,554,56.437398
-364.560934,689,57.387991
-71.198831,99,57.526248
-34.802379,75,57.62995
-14.057668,118,57.79532
-58.124495,96,57.929646
-63.864438,127,58.106159
-126.9641,1000,59.487474
-151.682882,1000,60.87091
-73.749846,304,61.291025
-158.683948,1000,62.677424
-3.215179,375,63.195667
-132.2784,222,63.502536
-159.767456,529,64.234125
-53.216062,281,64.622402
-161.972384,155,64.836256
-176.022916,197,65.108305
-196.002034,190,65.370188
-54.007545,153,65.585939
-157.795339,300,66.000984
-242.199329,263,66.364597
-70.259525,259,66.723965
-205.78372,146,66.92604
-159.112879,265,67.291171
-214.216646,146,67.493704
-258.561064,280,67.879402
-133.298403,328,68.336219
-127.615493,124,68.509266
