#{"t_start": 1780053176.0132082, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-116.615027,1000,13.919095
-84.651556,1000,14.137213
-134.650489,1000,14.285438
-105.436361,1000,14.503593
-59.863942,1000,14.650878
-126.171761,1000,14.872599
-114.975896,1000,15.021829
-135.879949,1000,15.241049
-105.093026,1000,15.389582
-143.430252,1000,15.607431
-125.117153,1000,15.755341
-124.876712,1000,15.974388
-149.774751,1000,16.123684
-116.322703,1000,16.341789
-139.65536,1000,16.48997
-108.716001,1000,16.707111
-85.699958,1000,16.854428
-116.881499,1000,17.075411
-97.198597,1000,17.223293
-122.522039,1000,17.440254
-61.517597,1000,17.58759
-114.764804,1000,17.803736
-95.384575,1000,17.951145
-70.195683,1000,18.169149
-94.389476,1000,18.316854
-99.761033,1000,18.53341
-63.527281,1000,18.681352
-91.088901,1000,18.899422
-68.893128,1000,19.048493
-76.152329,1000,19.197277
-106.261997,1000,19.41702
-101.890841,1000,19.564618
-140.138251,1000,19.782435
-112.84371,1000,19.930395
-111.779465,1000,20.150364
-146.874924,700,20.25347
-110.101617,1000,20.470774
-226.350353,873,20.600277
-106.785526,1000,20.817668
-102.361504,1000,20.965892
-170.523972,697,21.139364
-141.438143,1000,21.290622
-187.145743,926,21.428588
-112.933961,1000,21.646944
-101.109455,1000,21.793961
-216.629564,929,22.003717
-92.241792,1000,22.151121
-87.81009,1000,22.368309
-64.958687,1000,22.516033
-127.03578,1000,22.733917
-276.937702,937,22.871916
-143.353589,721,23.049489
-129.8099,1000,23.195724
-143.729477,1000,23.417923
-136.082075,1000,23.567066
-152.372289,1000,23.784303
-150.006532,1000,23.932413
-64.093997,1000,24.151601
-139.621625,1000,24.30055
-139.142978,1000,24.518581
-77.879882,1000,24.666291
-125.254035,1000,24.882634
-83.115965,267,24.922986
-125.968044,1000,25.07125
-183.862573,615,25.161443
-77.699719,268,25.275671
-120.366227,1000,25.42432
-144.430917,1000,25.644054
-102.587544,1000,25.792534
-117.968877,392,25.851019
-136.614183,1000,26.071149
-84.185431,1000,26.218807
-136.383326,1000,26.437788
-130.357229,1000,26.584646
-165.179852,823,26.775179
-201.906689,618,26.866484
-89.48914,1000,27.014478
-108.500159,1000,27.23166
-141.058505,1000,27.379175
-151.411781,1000,27.597354
-167.353442,778,27.712738
-69.737628,1000,27.930427
-92.470345,1000,28.07709
-92.923856,1000,28.294163
-65.911792,1000,28.442268
-102.946346,1000,28.660917
-106.302354,1000,28.808
-155.948905,615,28.898024
-99.684773,1000,29.116534
-97.111631,1000,29.263541
-57.814324,1000,29.482666
-139.912105,467,29.551284
-134.870591,1000,29.772969
-63.577304,1000,29.920193
-103.479892,1000,30.138842
-194.978457,619,30.23061
-126.352864,403,30.289783
-78.439991,1000,30.509204
-140.507808,680,30.611192
-112.269237,1000,30.757742
-90.399901,186,30.856508
-115.964751,1000,31.00576
-142.89465,1000,31.153379
-108.619592,1000,31.371646
-120.95153,1000,31.519878
-79.969268,189,31.618739
-104.903358,1000,31.766669
-122.771733,1000,31.987914
-133.972247,1000,32.137633
-185.667521,575,32.222187
-82.342809,1000,32.440429
-172.146055,478,32.51081
-127.579869,211,32.542135
-86.082886,206,32.572586
-75.447054,1000,32.79078
-58.455299,257,32.829181
-281.56535,871,32.958032
-159.199557,1000,33.176043
-95.334963,342,33.227126
-156.013392,1000,33.375021
-234.211803,781,33.559381
-123.934616,1000,33.706129
-127.163369,1000,33.923145
-69.827747,1000,34.075072
-151.317464,583,34.231962
-111.477663,1000,34.380968
-124.823342,491,34.45335
-156.074804,425,34.517594
-113.369495,1000,34.735645
-96.745569,1000,34.882313
-69.587932,1000,35.099992
-142.860848,417,35.161203
-76.731652,1000,35.378104
-92.452624,1000,35.526262
-87.643511,1000,35.741864
-144.219153,192,35.770291
-147.875613,1000,35.91743
-130.850251,231,35.951723
-247.653755,729,36.131451
-115.839884,390,36.189455
-115.420364,225,36.223492
-81.634851,1000,36.371541
-155.032671,1000,36.589328
-66.961316,1000,36.73678
-104.060841,1000,36.95271
-154.607161,1000,37.101125
-235.539611,949,37.312709
-93.99679,1000,37.461164
-97.075205,215,37.493005
-111.596134,1000,37.71098
-96.118147,1000,37.857996
-90.30087,1000,38.075694
-95.281923,214,38.10745
-75.956763,1000,38.326501
-124.24773,149,38.348825
-93.338187,1000,38.497098
-83.662749,1000,38.714598
-80.669028,1000,38.861973
-83.899273,195,38.890594
-143.099909,199,38.920046
-173.129663,1000,39.138576
-134.016006,413,39.199898
-147.502928,283,39.241718
-82.738287,1000,39.45923
-78.796644,1000,39.607196
-182.610938,493,39.679791
-147.712045,168,39.704816
-109.754221,258,39.811641
-140.547927,1000,39.960622
-196.194927,503,40.036259
-98.024777,217,40.0685
-71.00405,1000,40.286243
-165.225955,448,40.353107
-147.412262,202,40.385761
-89.9027,1000,40.604085
-103.786274,181,40.631195
-234.868,837,40.754373
-234.954949,961,40.966381
-149.844732,272,41.007384
-102.202408,1000,41.155166
-195.000572,523,41.232512
-85.157579,215,41.334503
-243.01317,674,41.433599
-159.882947,298,41.477652
-146.013549,214,41.50961
-164.012495,242,41.545676
-75.109219,1000,41.762343
-127.816833,1000,41.909618
-99.509556,191,41.937821
-68.542331,1000,42.155501
-167.799066,363,42.208705
-152.465016,243,42.244743
-159.571412,371,42.3
-227.484507,750,42.481037
-130.123379,604,42.572437
-180.573758,252,42.610076
-55.619335,1000,42.828857
-83.925973,1000,42.977412
-130.556936,330,43.027594
-220.59491,691,43.199703
-138.22619,218,43.232561
-138.606559,340,43.28266
-110.749176,1000,43.430924
-53.606909,1000,43.648215
-185.483582,535,43.726504
-90.350756,1000,43.944271
-97.243335,1000,44.094151
-74.923082,199,44.123715
-111.209774,1000,44.342373
-92.073731,1000,44.489633
-156.184556,232,44.524003
-85.7259,219,44.556009
-91.065072,1000,44.778577
-46.438017,1000,44.925914
-109.549537,350,45.048549
-139.779928,231,45.083483
-131.763761,1000,45.231146
-46.771561,1000,45.447906
-143.75989,190,45.475931
-103.124627,1000,45.622878
-143.207238,177,45.649067
-137.595942,264,45.68804
-84.024231,1000,45.906475
-101.001269,1000,46.054554
-153.717548,157,46.078174
-63.932048,1000,46.295882
-118.25116,1000,46.443997
-132.194874,211,46.544441
-124.913163,1000,46.692558
-122.358711,1000,46.843677
-49.307789,1000,47.061765
-104.791541,1000,47.209671
-56.306532,1000,47.427034
-56.053262,1000,47.574029
-161.042454,162,47.668437
-174.683106,364,47.72222
-95.76432,227,47.755839
-65.728997,1000,47.902351
-88.853278,1000,48.115404
-72.427806,357,48.167469
-82.618284,1000,48.312238
-85.263287,1000,48.525623
-118.839732,1000,48.670662
-41.869145,1000,48.888712
-47.769244,1000,49.036482
-68.173264,1000,49.25231
-149.961675,183,49.280058
-46.644975,1000,49.426238
-96.043218,277,49.533843
-69.382234,197,49.562765
-110.503889,1000,49.707709
-112.661675,1000,49.922962
-71.41383,1000,50.06762
-92.834583,142,50.088482
-58.966042,1000,50.303444
-116.04402,291,50.347753
-46.312274,1000,50.493684
-136.63383,193,50.522047
-83.792954,204,50.621289
-62.104623,1000,50.76698
-118.267833,1000,50.979525
-134.538878,195,51.009649
-128.733823,1000,51.155346
-100.58718,268,51.194593
-97.265375,1000,51.41001
-77.843163,260,51.448056
-105.322544,1000,51.59298
-150.324473,163,51.616813
-72.073897,1000,51.830713
-144.54045,200,51.860065
-148.093694,175,51.885531
-79.412243,1000,52.101354
-111.385916,1000,52.250179
-89.691351,1000,52.468325
-142.235799,172,52.494282
-127.294227,395,52.552349
-79.525878,199,52.581945
-91.372476,222,52.614616
-165.144159,433,52.67879
-119.814728,484,52.750246
-95.972843,1000,52.967929
-102.835686,289,53.011022
-69.416781,1000,53.232398
-200.683557,631,53.325355
-138.080463,1000,53.472944
-87.679169,1000,53.6911
-151.905435,339,53.740812
-89.597736,254,53.77806
-148.01295,238,53.813498
-94.322238,286,53.856682
-92.384486,186,53.954987
-113.471272,288,53.997883
-107.603499,327,54.046722
-135.574315,320,54.093884
-107.144745,208,54.124399
-97.411797,164,54.148563
-74.844391,1000,54.366807
-75.751026,1000,54.514164
-113.623585,1000,54.731314
-144.026447,187,54.75941
-90.205574,1000,54.906315
-248.03258,655,55.071261
-137.947425,1000,55.219635
-168.587814,351,55.272867
-114.417717,316,55.319704
-172.999304,619,55.482421
-69.741172,1000,55.629149
-116.043563,255,55.666942
-120.444591,237,55.701833
-209.926245,608,55.861531
-143.322632,217,55.893879
-114.127643,1000,56.041932
-143.022917,1000,56.25858
-37.115989,1000,56.405839
-109.621259,1000,56.623861
-125.31331,246,56.660436
-98.488755,191,56.688531
-139.241928,183,56.715753
-154.340322,365,56.76932
-156.344866,259,56.807437
-123.249203,362,56.930314
-96.088918,1000,57.078661
-131.824418,1000,57.226015
-92.979851,176,57.323275
-155.935981,193,57.353069
-93.005081,1000,57.504655
-105.949197,206,57.535258
-81.719696,1000,57.752703
-141.350696,161,57.776473
-123.208935,199,57.805813
-183.252447,733,57.913231
-123.886642,128,57.932111
-100.881309,167,57.956523
-135.656716,432,58.091962
-104.077001,177,58.118052
-82.891041,1000,58.265298
-97.256701,202,58.295174
-202.107779,885,58.49672
-96.32333,1000,58.643873
-36.487099,1000,58.861144
-163.656506,420,58.923127
-97.877824,1000,59.07135
-63.389384,1000,59.289681
-110.343579,250,59.326932
-111.740353,1000,59.5485
-147.968704,416,59.611044
-49.724026,1000,59.758652
-141.867169,279,59.799886
-135.328479,205,59.830245
-144.772937,539,59.982611
-84.315728,179,60.0094
-189.344149,771,60.123839
-68.032648,200,60.153527
-168.313794,435,60.218274
-117.884898,152,60.310201
-132.811003,497,60.385011
-98.343701,168,60.409841
-79.826329,1000,60.55712
-138.855853,348,60.678054
-148.397862,411,60.739431
-205.70354,731,60.847594
-138.302389,197,60.877058
-145.0854,156,60.900053
-125.282179,154,60.923144
-149.618714,184,60.950361
-63.966973,1000,61.170504
-121.954672,157,61.193845
-89.108763,171,61.219321
-107.504431,1000,61.437615
-172.230073,182,61.464886
-142.050999,555,61.546724
-112.368851,358,61.599805
-126.563518,186,61.629522
-115.170768,228,61.664067
-94.758422,1000,61.884665
-146.083508,435,61.948751
-143.521509,389,62.006169
-218.607681,925,62.213914
-105.317592,181,62.240869
-144.043372,354,62.293405
-225.548363,786,62.410402
-190.332125,339,62.460832
-99.910863,180,62.557577
-92.275391,1000,62.705961
-191.303117,709,62.810055
-127.235753,284,62.922325
-117.382959,1000,63.071402
-117.857869,128,63.090627
-103.53331,304,63.135478
-162.224735,211,63.166452
-116.6485,292,63.209695
-156.10846,400,63.33853
-234.872029,922,63.475096
-108.405988,1000,63.693505
-127.28704,317,63.74317
-155.649729,209,63.774978
-102.479379,207,63.805882
-98.035702,153,63.828506
-87.906729,1000,64.048957
-169.087188,485,64.120736
-120.257338,208,64.151846
-39.76229,1000,64.300343
-127.280359,149,64.322577
-97.192127,289,64.436462
-150.924782,333,64.486417
-148.849031,171,64.511823
-98.617744,162,64.535637
-77.050357,1000,64.682319
-96.790099,225,64.715451
-179.438772,585,64.871119
-31.052823,1000,65.017919
-217.55159,788,65.203471
-105.230753,1000,65.35028
-151.854304,198,65.379664
-124.056206,317,65.426197
-154.658788,159,65.449627
-162.471215,446,65.585336
-157.568292,277,65.626311
-153.715594,454,65.692947
-155.8738,187,65.72046
-143.997187,322,65.767449
-194.458837,733,65.948686
-105.77846,144,65.970138
-119.501298,1000,66.119272
-194.496729,869,66.31662
-153.464287,232,66.35135
-113.821395,169,66.376151
-177.133888,622,66.467512
-146.020051,242,66.503335
-178.569683,211,66.534644
-134.952494,1000,66.751302
-125.097141,223,66.784481
-130.590896,406,66.844481
-95.791401,357,66.896803
-108.565483,1000,67.114235
-158.145833,282,67.156326
-106.424962,1000,67.303535
-171.80973,337,67.42329
-171.148428,721,67.530017
-104.740219,1000,67.677952
-145.331382,396,67.806648
-192.655027,707,67.910316
-82.24813,1000,68.06236
-248.095971,982,68.277455
-129.424747,303,68.322306
-224.570485,624,68.414818
-48.068918,1000,68.632812
-83.972792,236,68.667979
-135.586276,304,68.713169
-159.303023,362,68.766674
-54.77851,1000,68.98442
-77.533931,1000,69.132198
-119.362131,1000,69.350006
-83.417189,1000,69.496863
-177.525725,784,69.683909
-245.468218,972,69.826669
-205.654305,373,69.88138
-153.841139,216,69.913311
-224.618952,785,70.099774
-108.881981,145,70.12361
-86.343201,1000,70.273625
-123.889833,336,70.394272
-75.071149,1000,70.541641
-144.427201,417,70.603297
-110.543144,137,70.623494
-201.423696,658,70.790263
-222.029017,889,70.921176
-103.255018,322,70.968659
-105.245272,1000,71.187861
-173.241964,211,71.219381
-158.717928,148,71.241441
-116.157827,187,71.268978
-149.430068,159,71.292204
-98.359154,253,71.329707
-87.425612,1000,71.546916
-175.759635,511,71.622673
-120.990381,185,71.6502
-196.316193,960,71.791129
-165.152907,351,71.913269
-111.767487,1000,72.06125
-177.962297,400,72.120348
-162.505139,149,72.142318
-148.744742,185,72.16939
-64.498801,1000,72.392044
-125.768536,186,72.419616
-145.290145,362,72.473307
-194.86262,723,72.649856
-172.022658,619,72.74089
-157.628738,271,72.780703
-156.669754,154,72.803416
-117.575977,1000,73.020464
-112.348463,202,73.051442
-121.091094,367,73.105765
-123.913456,144,73.126983
-144.120211,257,73.164782
-92.635271,227,73.198193
-160.402391,252,73.235176
-138.731662,242,73.270841
-91.222274,182,73.297507
-129.213242,236,73.402426
-176.898252,400,73.461463
-157.831808,212,73.493041
-154.685935,126,73.51176
-182.900494,279,73.55282
-108.728359,158,73.576283
-124.423256,230,73.610213
-103.440654,135,73.630162
-152.56928,289,73.672525
-174.952534,758,73.854718
-171.089697,338,73.904319
-123.793548,158,73.927381
-185.735949,438,73.992021
-189.24484,511,74.13894
-208.762267,500,74.212717
-142.37634,308,74.258028
-39.030789,1000,74.409392
-132.485372,316,74.527889
-231.084064,597,74.616401
-84.250844,1000,74.76392
-140.476419,1000,74.981468
-124.733136,1000,75.130591
-169.337467,248,75.167362
-132.885451,1000,75.384572
-58.56869,1000,75.531323
-95.626355,176,75.627739
-164.980768,254,75.665826
-105.755403,1000,75.813396
-181.304949,1000,76.031082
-129.18158,281,76.074469
-151.973472,152,76.096935
-66.377996,1000,76.243364
-155.264239,339,76.363422
-81.692621,1000,76.513103
-198.59676,748,76.626153
-106.813111,1000,76.84486
-34.041703,1000,76.992431
-142.245832,221,77.02496
-191.860793,359,77.148416
-192.250444,192,77.177147
-129.671683,254,77.214973
