timestep,ep_reward,ep_length
6080,4.615333,16
6100,0.64166665,5
6112,5.7043333,13
6128,4.944333,13
6168,11.145,35
6188,2.9516666,5
6204,5.0943336,23
6208,0.54833317,5
6232,0.64200044,26
6236,15.051334,34
6256,-1.3216666,5
6288,10.543669,21
6328,4.6833334,30
6356,0.22233343,7
6356,10.309001,17
6380,6.2903333,31
6400,3.5036664,11
6412,2.0813334,14
6436,5.255334,6
6444,1.610333,11
6456,-2.7883332,5
6484,5.824337,63
6492,5.083,9
6504,-2.9516666,15
6552,-2.0160003,12
6580,4.0146666,24
6592,6.308334,25
6596,22.54466,54
6620,8.552336,17
6620,0.45566702,7
6652,0.15933347,8
6660,-0.2746669,16
6696,1.5930003,19
6712,2.5516667,15
6724,16.092001,36
6724,-0.9976667,7
6752,-1.7443334,7
6780,1.014667,14
6796,0.23366618,21
6816,0.17533338,16
6832,0.21300006,9
6844,2.3423333,7
6868,-2.1036665,9
6872,-0.551,7
6876,13.338005,54
6904,1.6463332,9
6908,13.794002,32
6908,-1.0203332,9
6924,-3.8493333,12
6924,-1.5583334,5
6944,1.4663334,9
6952,-0.7676667,7
6952,1.299,7
6956,4.557333,12
6976,-0.17466664,6
6984,0.48900008,7
6988,0.13366675,11
7028,3.4043329,13
7036,7.0536666,21
7056,0.5193331,18
7056,0.12833333,5
7064,2.5829997,19
7088,1.9583335,15
7116,-0.85500026,15
7116,-3.6176667,7
7120,-3.2586665,14
7136,2.1233335,20
7140,-1.9183333,5
7144,-4.401,7
7160,0.34366703,11
7176,-0.113666534,9
7188,0.38433337,13
7220,0.49166703,15
7240,4.9146657,24
7244,0.48800015,14
7256,-1.5269998,9
7260,0.2850001,5
7276,-0.21166682,5
7292,11.893,29
7344,1.5110002,13
7360,7.295001,25
7388,26.662334,7
7416,2.8823338,7
7436,12.886002,48
7548,20.569336,68
7568,6.019333,38
7592,4.930333,11
7628,5.983,9
7656,-2.1309998,7
7668,5.372666,58
7684,-0.69099987,7
7700,22.396332,89
7708,13.975,35
7744,4.187,11
7756,9.310667,22
7764,5.548333,5
7776,-2.3116665,5
7776,2.6609998,23
7796,-0.4183333,5
7820,0.4853332,6
7820,-3.7996664,11
7860,2.9099998,10
7868,1.7106664,12
7892,1.1286665,6
7900,12.292667,48
7916,-3.398,6
7924,34.572,16
7928,-1.001,7
7944,-3.241,7
7964,0.26299977,9
7996,0.9610001,13
8024,4.261666,25
8024,2.4123333,7
8076,11.399335,28
8088,9.315334,16
8108,-1.0550002,5
8128,-2.9816666,5
8152,-6.3326664,32
8168,47.506992,101
8204,-1.8803333,9
8224,0.17499995,5
8232,7.626669,20
8244,5.8663335,29
8264,1.7126666,8
8280,4.750334,51
8300,5.026334,19
8300,2.4513333,14
8328,-0.18433309,7
8340,-0.68000007,10
8360,4.0466666,20
8364,11.695001,25
8424,8.065001,15
8428,4.5523334,17
8464,7.6413336,34
8492,-0.8410001,17
8512,-1.6949999,5
8532,-3.8716667,5
8536,14.523001,49
8540,10.779335,28
8548,7.4136686,21
8604,3.919334,18
8612,3.1293337,18
8624,-2.4850001,5
8628,1.5076671,23
8636,-2.1246667,6
8664,5.489,7
8668,15.863331,30
8720,2.5609999,13
8752,7.797333,22
8804,9.250336,21
8844,7.171002,23
8888,-1.7063333,11
8964,39.504658,84
8976,34.766,88
8992,15.228666,26
9008,-0.23299992,11
9012,15.604,52
9036,2.5069997,11
9044,5.5363336,9
9072,3.6013331,24
9084,5.322666,18
9084,-2.3866665,10
9104,28.471666,5
9108,0.92266655,18
9124,3.1510003,13
9136,4.5443335,13
9144,0.5283332,5
9148,6.327,11
9168,0.89166665,5
9172,-2.551,7
9184,11.579666,19
9216,1.3393333,8
9228,35.765,15
9252,-4.4266663,20
9292,-1.2736666,19
9324,8.606001,18
9328,1.3529999,9
9368,2.8899999,10
9388,-1.248,16
9408,-1.3316666,5
9428,-0.8533336,50
9432,19.151337,74
9496,7.477334,22
9512,0.7700002,20
9516,-2.7883334,5
9532,-3.2516665,5
9544,-0.871,7
9548,16.951664,45
9588,-1.213,11
9616,0.09566672,7
9616,3.1003337,21
9684,-2.3209999,17
9700,14.009336,68
9728,0.58566666,7
9796,-0.3316667,45
9836,11.556002,38
9856,28.185,5
9884,0.91900015,7
9916,24.812334,47
9928,13.935005,95
9972,-0.046333194,11
9984,21.135664,47
10032,10.709669,29
10048,12.707003,41
10048,6.7720013,16
10060,1.9273334,22
10060,-0.21766663,7
10084,-1.647,9
10092,1.3703332,11
10096,0.25300008,9
10112,-1.9943334,7
10140,-1.7376667,7
10152,4.3843327,23
10180,1.0803335,21
10188,2.208,24
10208,-2.7949998,5
10220,9.635667,17
10308,-4.955,25
10320,3.5950005,25
10340,4.511667,5
10360,1.7576666,13
10360,60.665,45
10368,0.22233331,7
10396,17.144669,64
10404,6.6469994,11
10416,1.7750003,5
10424,8.528001,14
10440,-2.0736668,9
10448,-1.6780002,6
10516,10.079669,39
10564,2.3773336,12
10576,11.413999,32
10584,12.415335,36
10596,-1.6616668,5
10612,18.756334,49
10616,3.8526669,8
