timestep,ep_reward,ep_length
6312,-1.1443332,7
6312,-2.7066667,10
6356,10.693666,21
6360,12.759334,28
6388,1.6456667,7
6420,1.5956669,27
6436,1.4206667,12
6440,10.277001,21
6460,17.24567,37
6560,-5.048333,25
6580,2.3266668,40
6584,12.572338,37
6616,12.241333,14
6636,3.1143336,13
6644,-5.247667,7
6664,6.4303327,21
6664,-1.5376667,7
6668,0.0020000935,6
6688,-1.1316667,5
6740,1.8996665,19
6756,5.361,23
6776,6.624,22
6796,0.11166656,5
6804,-1.4726665,12
6804,2.7520006,16
6820,27.821665,95
6872,3.8223333,17
6896,2.3683336,25
6900,3.2523332,7
6916,12.059337,28
6932,0.85633326,9
6960,-1.4563333,11
7020,5.760668,22
7032,4.3060007,18
7032,23.181004,53
7056,0.6563333,9
7092,-0.123666525,9
7096,2.3286667,16
7116,6.270334,21
7120,2.1723335,7
7172,1.642667,68
7184,-1.3410001,17
7228,-0.9763333,11
7256,-1.0143334,7
7272,13.424669,44
7276,-0.245,5
7296,15.631336,44
7364,0.33233345,17
7372,5.491333,24
7392,12.150002,30
7436,-0.13799989,16
7472,0.7396667,9
7476,4.163667,21
7484,19.046003,78
7520,4.407,11
7524,2.941,13
7540,-0.5816667,5
7588,18.668665,56
7588,-1.9046667,16
7600,0.7263329,29
7628,5.1640005,22
7676,3.0106657,22
7680,7.163334,20
7684,9.568,24
7708,0.93233347,7
7720,3.0910003,23
7740,5.975333,16
7780,3.356667,10
7780,4.7746663,24
7788,-1.7043332,17
7860,2.3399997,20
7880,-2.3316665,5
7900,15.41,30
7928,11.285003,55
7932,27.992666,8
7964,0.66933334,8
8000,-2.9903333,9
8012,-1.6596668,21
8056,-2.173,11
8060,20.722668,68
8060,-1.5783336,15
8084,3.2120001,6
8096,2.3933337,10
8136,-1.0103333,19
8172,0.089666605,9
8200,-0.26366666,29
8236,0.078666806,16
8244,11.999004,37
8256,-0.5483334,5
8264,-2.2816665,5
8288,3.8026667,8
8296,0.086000085,8
8304,4.301999,26
8316,2.7150002,5
8324,-3.8903334,9
8416,4.0426674,28
8424,21.148333,25
8460,19.808664,36
8484,5.2056665,17
8484,2.8216662,15
8564,4.2733316,20
8588,16.117332,32
8616,-1.469,13
8624,7.6430006,9
8660,3.579667,9
8680,87.61668,200
8700,0.50500005,5
8752,7.6276674,23
8760,27.953001,69
8760,2.215,15
8776,8.18,40
8796,-1.0036668,9
8812,7.8250003,15
8820,-1.3646667,6
8844,11.472335,17
8880,29.481667,15
8884,9.340336,31
8908,4.2556667,7
8956,4.882667,18
8960,8.206334,29
9036,19.597336,32
9052,1.697667,23
9072,0.76833326,5
9088,2.7076669,13
9116,-2.0276666,7
9116,5.2770004,11
9124,23.56266,78
9140,18.062002,46
9144,-0.0710001,7
9152,-1.551,7
9156,-2.1533332,10
9176,2.195,5
9176,-1.6470002,9
9200,3.3180003,14
9220,5.3756666,17
9240,6.6166673,10
9260,-0.57500017,5
9260,5.923334,10
9296,2.1996667,9
9300,4.4733334,10
9336,-1.9569999,9
9356,4.8149996,45
9368,5.6493335,18
9384,0.6306665,12
9396,-2.2543333,7
9400,-0.8596667,11
9416,26.619333,8
9428,2.9359999,8
9440,16.641998,66
9456,5.221333,14
9468,5.472334,7
9476,1.8183336,15
9492,9.608667,16
9524,-0.26933336,12
9548,2.8646667,14
9556,1.8759999,8
9572,10.365333,26
9576,-1.385,5
9576,1.9923334,7
9592,8.508003,34
9620,-3.4343333,7
9636,2.2450004,15
9664,1.1903334,11
9704,-3.7326663,32
9708,7.778002,34
9708,8.900333,11
9740,-1.8973334,8
9788,24.066,38
9808,3.4816666,5
9812,14.542335,27
9856,6.2040014,12
9868,8.677335,32
9876,45.557335,42
9896,-0.32833314,5
9920,4.9609995,13
9944,9.930667,22
9944,-1.7113333,6
10012,5.8689995,17
10024,1.7233336,20
10056,28.450333,61
10056,12.496672,40
10100,10.342999,19
10104,11.1640005,12
10120,0.004999876,5
10120,4.3886666,16
10136,-1.6006668,8
10140,-0.86833334,5
10164,7.870334,11
10168,1.3323336,7
10192,2.1253338,6
10292,60.120003,70
